runId,status,seconds,gap,nodes,incumbent,bound
pricing-n020-set01-m2-random-medium-n10-wzero-time_indexed,ROOT_PROCESSED,2.367554,0.000000,1,270455.000000,270455.000000
pricing-n020-set01-m2-random-medium-n10-wzero-time_indexed_sri,ROOT_PROCESSED,2.152801,0.000000,1,270455.000000,270455.000000
pricing-n020-set01-m3-random-medium-n10-wzero-ng_dssr,FINISHED,4.074586,0.000000,11,204873.000000,204873.000000
pricing-n020-set01-m3-random-medium-n10-wzero-time_indexed,FINISHED,4.194434,0.000000,10,204873.000000,204873.000000
pricing-n020-set01-m3-random-medium-n10-wzero-time_indexed_sri,FINISHED,4.246411,0.000000,3,204873.000000,204873.000000
pricing-n020-set01-m4-random-medium-n10-wzero-ng_dssr,FINISHED,2.297865,0.000000,4,175309.000000,175309.000000
pricing-n020-set01-m4-random-medium-n10-wzero-time_indexed,FINISHED,1.480441,0.000000,3,175309.000000,175309.000000
pricing-n020-set01-m4-random-medium-n10-wzero-time_indexed_sri,ROOT_PROCESSED,1.627156,0.000000,1,175309.000000,175309.000000
pricing-n020-set01-m2-random-medium-n10-wnarrow-ng_dssr,ROOT_PROCESSED,2.656592,0.000000,1,173088.000000,173088.000000
pricing-n020-set01-m2-random-medium-n10-wnarrow-time_indexed,ROOT_PROCESSED,2.108934,0.000000,1,173088.000000,173088.000000
pricing-n020-set01-m2-random-medium-n10-wnarrow-time_indexed_sri,ROOT_PROCESSED,2.322831,0.000000,1,173088.000000,173088.000000
pricing-n020-set01-m3-random-medium-n10-wnarrow-ng_dssr,FINISHED,3.135866,0.000000,6,115058.000000,115058.000000
pricing-n020-set01-m3-random-medium-n10-wnarrow-time_indexed,FINISHED,3.052864,0.000000,8,115058.000000,115058.000000
pricing-n020-set01-m3-random-medium-n10-wnarrow-time_indexed_sri,ROOT_PROCESSED,2.479080,0.000000,1,115058.000000,115058.000000
pricing-n020-set01-m4-random-medium-n10-wnarrow-ng_dssr,FINISHED,2.201089,0.000000,2,89529.000000,89529.000000
pricing-n020-set01-m4-random-medium-n10-wnarrow-time_indexed,FINISHED,1.599525,0.000000,3,89529.000000,89529.000000
pricing-n020-set01-m4-random-medium-n10-wnarrow-time_indexed_sri,ROOT_PROCESSED,1.706989,0.000000,1,89529.000000,89529.000000
pricing-n020-set01-m2-random-medium-n10-wwide-ng_dssr,ROOT_PROCESSED,2.558229,0.000000,1,70751.000000,70751.000000
pricing-n020-set01-m2-random-medium-n10-wwide-time_indexed,ROOT_PROCESSED,1.638163,0.000000,1,70751.000000,70751.000000
pricing-n020-set01-m2-random-medium-n10-wwide-time_indexed_sri,ROOT_PROCESSED,1.762824,0.000000,1,70751.000000,70751.000000
pricing-n020-set01-m3-random-medium-n10-wwide-ng_dssr,ROOT_PROCESSED,1.255063,0.000000,1,49127.000000,49127.000000
pricing-n020-set01-m3-random-medium-n10-wwide-time_indexed,ROOT_PROCESSED,0.709209,0.000000,1,49127.000000,49127.000000
pricing-n020-set01-m3-random-medium-n10-wwide-time_indexed_sri,ROOT_PROCESSED,0.704335,0.000000,1,49127.000000,49127.000000
pricing-n020-set01-m4-random-medium-n10-wwide-ng_dssr,FINISHED,2.754003,0.000000,7,45320.000000,45320.000000
pricing-n020-set01-m4-random-medium-n10-wwide-time_indexed,FINISHED,2.388523,0.000000,7,45320.000000,45320.000000
pricing-n020-set01-m4-random-medium-n10-wwide-time_indexed_sri,FINISHED,3.052863,0.000000,3,45320.000000,45320.000000
pricing-n020-set01-m2-random-high-n20-wzero-ng_dssr,ROOT_PROCESSED,6.829660,0.000000,1,635871.000000,635871.000000
pricing-n020-set01-m2-random-high-n20-wzero-time_indexed,ROOT_PROCESSED,5.905908,0.000000,1,635871.000000,635871.000000
pricing-n020-set01-m2-random-high-n20-wzero-time_indexed_sri,ROOT_PROCESSED,5.914746,0.000000,1,635871.000000,635871.000000
pricing-n020-set01-m3-random-high-n20-wzero-ng_dssr,ROOT_PROCESSED,1.685606,0.000000,1,471525.000000,471525.000000
pricing-n020-set01-m3-random-high-n20-wzero-time_indexed,ROOT_PROCESSED,1.289209,0.000000,1,471525.000000,471525.000000
pricing-n020-set01-m3-random-high-n20-wzero-time_indexed_sri,ROOT_PROCESSED,1.275999,0.000000,1,471525.000000,471525.000000
pricing-n020-set01-m4-random-high-n20-wzero-ng_dssr,ROOT_PROCESSED,1.005496,0.000000,1,397948.000000,397948.000000
pricing-n020-set01-m4-random-high-n20-wzero-time_indexed,ROOT_PROCESSED,0.675006,0.000000,1,397948.000000,397948.000000
pricing-n020-set01-m4-random-high-n20-wzero-time_indexed_sri,ROOT_PROCESSED,0.662177,0.000000,1,397948.000000,397948.000000
pricing-n020-set01-m2-random-high-n20-wnarrow-ng_dssr,ROOT_PROCESSED,5.168491,0.000000,1,442382.000000,442382.000000
pricing-n020-set01-m2-random-high-n20-wnarrow-time_indexed,FINISHED,6.163827,0.000000,3,442382.000000,442382.000000
pricing-n020-set01-m2-random-high-n20-wnarrow-time_indexed_sri,ROOT_PROCESSED,5.267534,0.000000,1,442382.000000,442382.000000
pricing-n020-set01-m3-random-high-n20-wnarrow-ng_dssr,ROOT_PROCESSED,2.142042,0.000000,1,288233.000000,288233.000000
pricing-n020-set01-m3-random-high-n20-wnarrow-time_indexed,ROOT_PROCESSED,1.540451,0.000000,1,288233.000000,288233.000000
pricing-n020-set01-m3-random-high-n20-wnarrow-time_indexed_sri,ROOT_PROCESSED,1.536006,0.000000,1,288233.000000,288233.000000
pricing-n020-set01-m4-random-high-n20-wnarrow-ng_dssr,FINISHED,4.120328,0.000000,5,219219.000000,219219.000000
pricing-n020-set01-m4-random-high-n20-wnarrow-time_indexed,FINISHED,4.118020,0.000000,8,219219.000000,219219.000000
pricing-n020-set01-m4-random-high-n20-wnarrow-time_indexed_sri,FINISHED,3.800311,0.000000,3,219219.000000,219219.000000
pricing-n020-set01-m2-random-high-n20-wwide-ng_dssr,FINISHED,9.716094,0.000000,5,189674.000000,189674.000000
pricing-n020-set01-m2-random-high-n20-wwide-time_indexed,FINISHED,10.469762,0.000000,6,189674.000000,189674.000000
pricing-n020-set01-m2-random-high-n20-wwide-time_indexed_sri,ROOT_PROCESSED,8.056896,0.000000,1,189674.000000,189674.000000
pricing-n020-set01-m3-random-high-n20-wwide-ng_dssr,FINISHED,5.123622,0.000000,5,107732.000000,107732.000000
pricing-n020-set01-m3-random-high-n20-wwide-time_indexed,FINISHED,6.350269,0.000000,9,107732.000000,107732.000000
pricing-n020-set01-m3-random-high-n20-wwide-time_indexed_sri,ROOT_PROCESSED,6.296203,0.000000,1,107732.000000,107732.000000
pricing-n020-set01-m4-random-high-n20-wwide-ng_dssr,FINISHED,4.170663,0.000000,6,95802.000000,95802.000000
pricing-n020-set01-m4-random-high-n20-wwide-time_indexed,FINISHED,4.119463,0.000000,6,95802.000000,95802.000000
pricing-n020-set01-m4-random-high-n20-wwide-time_indexed_sri,FINISHED,7.744156,0.000000,5,95802.000000,95802.000000
pricing-n020-set01-m2-family-base-n1-wzero-ng_dssr,ROOT_PROCESSED,2.497513,0.000000,1,28285.000000,28285.000000
pricing-n020-set01-m2-family-base-n1-wzero-time_indexed,FINISHED,479.494885,0.000000,1813,28285.000000,28285.000000
pricing-n020-set01-m2-family-base-n1-wzero-time_indexed_sri,ROOT_PROCESSED,27.234378,0.000000,1,28285.000000,28285.000000
pricing-n020-set01-m3-family-base-n1-wzero-ng_dssr,ROOT_PROCESSED,1.292088,0.000000,1,18477.000000,18477.000000
pricing-n020-set01-m3-family-base-n1-wzero-time_indexed,ROOT_PROCESSED,0.514954,0.000000,1,18477.000000,18477.000000
pricing-n020-set01-m3-family-base-n1-wzero-time_indexed_sri,ROOT_PROCESSED,0.442848,0.000000,1,18477.000000,18477.000000
pricing-n020-set01-m4-family-base-n1-wzero-ng_dssr,FINISHED,3.148614,0.000000,24,15410.000000,15410.000000
pricing-n020-set01-m4-family-base-n1-wzero-time_indexed,FINISHED,4.442194,0.000000,28,15410.000000,15410.000000
pricing-n020-set01-m4-family-base-n1-wzero-time_indexed_sri,ROOT_PROCESSED,1.094295,0.000000,1,15410.000000,15410.000000
pricing-n020-set01-m2-family-base-n1-wnarrow-ng_dssr,ROOT_PROCESSED,2.292184,0.000000,1,19054.000000,19054.000000
pricing-n020-set01-m2-family-base-n1-wnarrow-time_indexed,FINISHED,924.141674,0.000000,4526,19054.000000,19054.000000
pricing-n020-set01-m2-family-base-n1-wnarrow-time_indexed_sri,ROOT_PROCESSED,27.519236,0.000000,1,19054.000000,19054.000000
pricing-n020-set01-m3-family-base-n1-wnarrow-ng_dssr,ROOT_PROCESSED,1.205163,0.000000,1,10090.000000,10090.000000
pricing-n020-set01-m3-family-base-n1-wnarrow-time_indexed,ROOT_PROCESSED,0.556652,0.000000,1,10090.000000,10090.000000
pricing-n020-set01-m3-family-base-n1-wnarrow-time_indexed_sri,ROOT_PROCESSED,0.412378,0.000000,1,10090.000000,10090.000000
pricing-n020-set01-m4-family-base-n1-wnarrow-ng_dssr,FINISHED,3.668204,0.000000,33,7362.000000,7362.000000
pricing-n020-set01-m4-family-base-n1-wnarrow-time_indexed,FINISHED,9.012538,0.000000,97,7362.000000,7362.000000
pricing-n020-set01-m4-family-base-n1-wnarrow-time_indexed_sri,ROOT_PROCESSED,1.249164,0.000000,1,7362.000000,7362.000000
pricing-n020-set01-m2-family-base-n1-wwide-ng_dssr,ROOT_PROCESSED,2.156718,0.000000,1,7325.000000,7325.000000
pricing-n020-set01-m2-family-base-n1-wwide-time_indexed,FINISHED,3588.490709,0.000000,19639,7325.000000,7325.000000
pricing-n020-set01-m2-family-base-n1-wwide-time_indexed_sri,ROOT_PROCESSED,511.341372,0.000000,1,7325.000000,7325.000000
pricing-n020-set01-m3-family-base-n1-wwide-ng_dssr,ROOT_PROCESSED,0.962746,0.000000,1,2564.000000,2564.000000
pricing-n020-set01-m3-family-base-n1-wwide-time_indexed,FINISHED,25.510035,0.000000,170,2564.000000,2564.000000
pricing-n020-set01-m3-family-base-n1-wwide-time_indexed_sri,ROOT_PROCESSED,1.890869,0.000000,1,2564.000000,2564.000000
pricing-n020-set01-m4-family-base-n1-wwide-ng_dssr,FINISHED,3.534726,0.000000,55,2027.000000,2027.000000
pricing-n020-set01-m4-family-base-n1-wwide-time_indexed,FINISHED,10.283980,0.000000,156,2027.000000,2027.000000
pricing-n020-set01-m4-family-base-n1-wwide-time_indexed_sri,ROOT_PROCESSED,1.199862,0.000000,1,2027.000000,2027.000000
pricing-n020-set01-m2-family-medium-n10-wzero-ng_dssr,ROOT_PROCESSED,2.473953,0.000000,1,210983.000000,210983.000000
pricing-n020-set01-m2-family-medium-n10-wzero-time_indexed,FINISHED,143.562111,0.000000,160,210983.000000,210983.000000
pricing-n020-set01-m2-family-medium-n10-wzero-time_indexed_sri,ROOT_PROCESSED,26.678602,0.000000,1,210983.000000,210983.000000
pricing-n020-set01-m3-family-medium-n10-wzero-ng_dssr,ROOT_PROCESSED,0.981826,0.000000,1,141865.000000,141865.000000
pricing-n020-set01-m3-family-medium-n10-wzero-time_indexed,ROOT_PROCESSED,0.643833,0.000000,1,141865.000000,141865.000000
pricing-n020-set01-m3-family-medium-n10-wzero-time_indexed_sri,ROOT_PROCESSED,0.647808,0.000000,1,141865.000000,141865.000000
pricing-n020-set01-m4-family-medium-n10-wzero-ng_dssr,FINISHED,16.937731,0.000000,138,122125.000000,122125.000000
pricing-n020-set01-m4-family-medium-n10-wzero-time_indexed,FINISHED,41.312965,0.000000,180,122125.000000,122125.000000
pricing-n020-set01-m4-family-medium-n10-wzero-time_indexed_sri,ROOT_PROCESSED,6.450882,0.000000,1,122125.000000,122125.000000
pricing-n020-set01-m2-family-medium-n10-wnarrow-ng_dssr,ROOT_PROCESSED,2.675609,0.000000,1,121966.000000,121966.000000
pricing-n020-set01-m2-family-medium-n10-wnarrow-time_indexed,FINISHED,335.433486,0.000000,406,121966.000000,121966.000000
pricing-n020-set01-m2-family-medium-n10-wnarrow-time_indexed_sri,ROOT_PROCESSED,70.874962,0.000000,1,121966.000000,121966.000000
pricing-n020-set01-m3-family-medium-n10-wnarrow-ng_dssr,ROOT_PROCESSED,1.458028,0.000000,1,63252.000000,63252.000000
pricing-n020-set01-m3-family-medium-n10-wnarrow-time_indexed,FINISHED,2.312121,0.000000,8,63252.000000,63252.000000
pricing-n020-set01-m3-family-medium-n10-wnarrow-time_indexed_sri,ROOT_PROCESSED,1.718138,0.000000,1,63252.000000,63252.000000
pricing-n020-set01-m4-family-medium-n10-wnarrow-ng_dssr,FINISHED,98.726163,0.000000,789,47952.000000,47952.000000
pricing-n020-set01-m4-family-medium-n10-wnarrow-time_indexed,FINISHED,267.917132,0.000000,1703,47952.000000,47952.000000
pricing-n020-set01-m4-family-medium-n10-wnarrow-time_indexed_sri,FINISHED,109.745082,0.000000,3,47952.000000,47952.000000
pricing-n020-set01-m2-family-medium-n10-wwide-ng_dssr,ROOT_PROCESSED,3.559657,0.000000,1,42832.000000,42832.000000
pricing-n020-set01-m2-family-medium-n10-wwide-time_indexed,FINISHED,7273.992216,0.000000,15223,42832.000000,42832.000000
pricing-n020-set01-m2-family-medium-n10-wwide-time_indexed_sri,TIME_LIMIT,10805.016328,17.136172,1,42832.000000,35492.234914
pricing-n020-set01-m3-family-medium-n10-wwide-ng_dssr,ROOT_PROCESSED,1.752968,0.000000,1,18740.000000,18740.000000
pricing-n020-set01-m3-family-medium-n10-wwide-time_indexed,FINISHED,74.849108,0.000000,316,18740.000000,18740.000000
pricing-n020-set01-m3-family-medium-n10-wwide-time_indexed_sri,ROOT_PROCESSED,15.161223,0.000000,1,18740.000000,18740.000000
pricing-n020-set01-m4-family-medium-n10-wwide-ng_dssr,ROOT_PROCESSED,1.229379,0.000000,1,16320.000000,16320.000000
pricing-n020-set01-m4-family-medium-n10-wwide-time_indexed,FINISHED,1.499820,0.000000,6,16320.000000,16320.000000
pricing-n020-set01-m4-family-medium-n10-wwide-time_indexed_sri,ROOT_PROCESSED,1.181732,0.000000,1,16320.000000,16320.000000
pricing-n020-set01-m2-family-high-n20-wzero-ng_dssr,ROOT_PROCESSED,5.610950,0.000000,1,524664.000000,524664.000000
pricing-n020-set01-m2-family-high-n20-wzero-time_indexed,FINISHED,9624.403122,0.000000,5234,524664.000000,524664.000000
pricing-n020-set01-m2-family-high-n20-wzero-time_indexed_sri,ROOT_PROCESSED,911.241879,0.000000,1,524664.000000,524664.000000
pricing-n020-set01-m3-family-high-n20-wzero-ng_dssr,ROOT_PROCESSED,1.894069,0.000000,1,345867.000000,345867.000000
pricing-n020-set01-m3-family-high-n20-wzero-time_indexed,FINISHED,2.381565,0.000000,4,345867.000000,345867.000000
pricing-n020-set01-m3-family-high-n20-wzero-time_indexed_sri,ROOT_PROCESSED,1.915149,0.000000,1,345867.000000,345867.000000
pricing-n020-set01-m4-family-high-n20-wzero-ng_dssr,FINISHED,4.224355,0.000000,8,281836.000000,281836.000000
pricing-n020-set01-m4-family-high-n20-wzero-time_indexed,FINISHED,3.601512,0.000000,10,281836.000000,281836.000000
pricing-n020-set01-m4-family-high-n20-wzero-time_indexed_sri,ROOT_PROCESSED,1.567147,0.000000,1,281836.000000,281836.000000
pricing-n020-set01-m2-family-high-n20-wnarrow-ng_dssr,ROOT_PROCESSED,5.637760,0.000000,1,335879.000000,335879.000000
pricing-n020-set01-m2-family-high-n20-wnarrow-time_indexed,TIME_LIMIT,10800.297784,3.508993,4018,335879.000000,324093.028571
pricing-n020-set01-m2-family-high-n20-wnarrow-time_indexed_sri,ROOT_PROCESSED,859.255079,0.000000,1,335879.000000,335879.000000
pricing-n020-set01-m3-family-high-n20-wnarrow-ng_dssr,ROOT_PROCESSED,2.201914,0.000000,1,177487.000000,177487.000000
pricing-n020-set01-m3-family-high-n20-wnarrow-time_indexed,FINISHED,9.574998,0.000000,21,177487.000000,177487.000000
pricing-n020-set01-m3-family-high-n20-wnarrow-time_indexed_sri,ROOT_PROCESSED,2.263614,0.000000,1,177487.000000,177487.000000
pricing-n020-set01-m4-family-high-n20-wnarrow-ng_dssr,FINISHED,15.363393,0.000000,54,120125.000000,120125.000000
pricing-n020-set01-m4-family-high-n20-wnarrow-time_indexed,FINISHED,14.273537,0.000000,45,120125.000000,120125.000000
pricing-n020-set01-m4-family-high-n20-wnarrow-time_indexed_sri,ROOT_PROCESSED,5.907521,0.000000,1,120125.000000,120125.000000
pricing-n020-set01-m2-family-high-n20-wwide-ng_dssr,ROOT_PROCESSED,5.022466,0.000000,1,102962.000000,102962.000000
pricing-n020-set01-m2-family-high-n20-wwide-time_indexed,FINISHED,928.617245,0.000000,520,102962.000000,102962.000000
pricing-n020-set01-m2-family-high-n20-wwide-time_indexed_sri,ROOT_PROCESSED,1802.731864,0.000000,1,102962.000000,102962.000000
pricing-n020-set01-m3-family-high-n20-wwide-ng_dssr,ROOT_PROCESSED,2.619212,0.000000,1,39692.000000,39692.000000
pricing-n020-set01-m3-family-high-n20-wwide-time_indexed,FINISHED,18.785382,0.000000,50,39692.000000,39692.000000
pricing-n020-set01-m3-family-high-n20-wwide-time_indexed_sri,ROOT_PROCESSED,6.886826,0.000000,1,39692.000000,39692.000000
pricing-n020-set01-m4-family-high-n20-wwide-ng_dssr,FINISHED,3.041415,0.000000,5,35020.000000,35020.000000
pricing-n020-set01-m4-family-high-n20-wwide-time_indexed,FINISHED,5.124535,0.000000,17,35020.000000,35020.000000
pricing-n020-set01-m4-family-high-n20-wwide-time_indexed_sri,ROOT_PROCESSED,3.414055,0.000000,1,35020.000000,35020.000000
pricing-n020-set02-m2-random-base-n1-wzero-ng_dssr,FINISHED,2.151829,0.000000,4,29944.000000,29944.000000
pricing-n020-set02-m2-random-base-n1-wzero-time_indexed,FINISHED,2.761538,0.000000,6,29944.000000,29944.000000
pricing-n020-set02-m2-random-base-n1-wzero-time_indexed_sri,ROOT_PROCESSED,1.234792,0.000000,1,29944.000000,29944.000000
pricing-n020-set02-m3-random-base-n1-wzero-ng_dssr,FINISHED,1.423230,0.000000,5,21215.000000,21215.000000
pricing-n020-set02-m3-random-base-n1-wzero-time_indexed,FINISHED,2.450070,0.000000,9,21215.000000,21215.000000
pricing-n020-set02-m3-random-base-n1-wzero-time_indexed_sri,ROOT_PROCESSED,0.836359,0.000000,1,21215.000000,21215.000000
pricing-n020-set02-m4-random-base-n1-wzero-ng_dssr,FINISHED,1.153318,0.000000,5,16669.000000,16669.000000
pricing-n020-set02-m4-random-base-n1-wzero-time_indexed,FINISHED,0.952379,0.000000,6,16669.000000,16669.000000
pricing-n020-set02-m4-random-base-n1-wzero-time_indexed_sri,ROOT_PROCESSED,0.464205,0.000000,1,16669.000000,16669.000000
pricing-n020-set02-m2-random-base-n1-wnarrow-ng_dssr,ROOT_PROCESSED,1.471915,0.000000,1,19802.000000,19802.000000
pricing-n020-set02-m2-random-base-n1-wnarrow-time_indexed,ROOT_PROCESSED,1.062404,0.000000,1,19802.000000,19802.000000
pricing-n020-set02-m2-random-base-n1-wnarrow-time_indexed_sri,ROOT_PROCESSED,0.945234,0.000000,1,19802.000000,19802.000000
pricing-n020-set02-m3-random-base-n1-wnarrow-ng_dssr,FINISHED,0.999729,0.000000,2,12387.000000,12387.000000
pricing-n020-set02-m3-random-base-n1-wnarrow-time_indexed,FINISHED,1.065895,0.000000,5,12387.000000,12387.000000
pricing-n020-set02-m3-random-base-n1-wnarrow-time_indexed_sri,ROOT_PROCESSED,0.608853,0.000000,1,12387.000000,12387.000000
pricing-n020-set02-m4-random-base-n1-wnarrow-ng_dssr,ROOT_PROCESSED,0.840202,0.000000,1,8991.000000,8991.000000
pricing-n020-set02-m4-random-base-n1-wnarrow-time_indexed,ROOT_PROCESSED,0.399777,0.000000,1,8991.000000,8991.000000
pricing-n020-set02-m4-random-base-n1-wnarrow-time_indexed_sri,ROOT_PROCESSED,0.314339,0.000000,1,8991.000000,8991.000000
pricing-n020-set02-m2-random-base-n1-wwide-ng_dssr,ROOT_PROCESSED,1.068595,0.000000,1,10032.000000,10032.000000
pricing-n020-set02-m2-random-base-n1-wwide-time_indexed,FINISHED,2.284206,0.000000,3,10032.000000,10032.000000
pricing-n020-set02-m2-random-base-n1-wwide-time_indexed_sri,ROOT_PROCESSED,0.980489,0.000000,1,10032.000000,10032.000000
pricing-n020-set02-m3-random-base-n1-wwide-ng_dssr,ROOT_PROCESSED,0.765609,0.000000,1,5222.000000,5222.000000
pricing-n020-set02-m3-random-base-n1-wwide-time_indexed,FINISHED,0.941849,0.000000,2,5222.000000,5222.000000
pricing-n020-set02-m3-random-base-n1-wwide-time_indexed_sri,ROOT_PROCESSED,0.554733,0.000000,1,5222.000000,5222.000000
pricing-n020-set02-m4-random-base-n1-wwide-ng_dssr,ROOT_PROCESSED,0.689768,0.000000,1,4450.000000,4450.000000
pricing-n020-set02-m4-random-base-n1-wwide-time_indexed,FINISHED,1.171653,0.000000,6,4450.000000,4450.000000
pricing-n020-set02-m4-random-base-n1-wwide-time_indexed_sri,ROOT_PROCESSED,0.540629,0.000000,1,4450.000000,4450.000000
pricing-n020-set02-m2-random-medium-n10-wzero-ng_dssr,ROOT_PROCESSED,2.219564,0.000000,1,258357.000000,258357.000000
pricing-n020-set02-m2-random-medium-n10-wzero-time_indexed,ROOT_PROCESSED,1.775881,0.000000,1,258357.000000,258357.000000
pricing-n020-set02-m2-random-medium-n10-wzero-time_indexed_sri,ROOT_PROCESSED,1.601242,0.000000,1,258357.000000,258357.000000
pricing-n020-set02-m3-random-medium-n10-wzero-ng_dssr,ROOT_PROCESSED,1.038994,0.000000,1,179277.000000,179277.000000
pricing-n020-set02-m3-random-medium-n10-wzero-time_indexed,ROOT_PROCESSED,0.767263,0.000000,1,179277.000000,179277.000000
pricing-n020-set02-m3-random-medium-n10-wzero-time_indexed_sri,ROOT_PROCESSED,0.604425,0.000000,1,179277.000000,179277.000000
pricing-n020-set02-m4-random-medium-n10-wzero-ng_dssr,ROOT_PROCESSED,0.751685,0.000000,1,147901.000000,147901.000000
pricing-n020-set02-m4-random-medium-n10-wzero-time_indexed,ROOT_PROCESSED,0.500311,0.000000,1,147901.000000,147901.000000
pricing-n020-set02-m4-random-medium-n10-wzero-time_indexed_sri,ROOT_PROCESSED,0.486219,0.000000,1,147901.000000,147901.000000
pricing-n020-set02-m2-random-medium-n10-wnarrow-ng_dssr,ROOT_PROCESSED,2.563103,0.000000,1,171230.000000,171230.000000
pricing-n020-set02-m2-random-medium-n10-wnarrow-time_indexed,FINISHED,3.981700,0.000000,3,171230.000000,171230.000000
pricing-n020-set02-m2-random-medium-n10-wnarrow-time_indexed_sri,ROOT_PROCESSED,2.706149,0.000000,1,171230.000000,171230.000000
pricing-n020-set02-m3-random-medium-n10-wnarrow-ng_dssr,FINISHED,2.010398,0.000000,3,104854.000000,104854.000000
pricing-n020-set02-m3-random-medium-n10-wnarrow-time_indexed,FINISHED,1.939772,0.000000,3,104854.000000,104854.000000
pricing-n020-set02-m3-random-medium-n10-wnarrow-time_indexed_sri,ROOT_PROCESSED,1.933255,0.000000,1,104854.000000,104854.000000
pricing-n020-set02-m4-random-medium-n10-wnarrow-ng_dssr,FINISHED,2.004414,0.000000,5,75734.000000,75734.000000
pricing-n020-set02-m4-random-medium-n10-wnarrow-time_indexed,FINISHED,1.750352,0.000000,6,75734.000000,75734.000000
pricing-n020-set02-m4-random-medium-n10-wnarrow-time_indexed_sri,FINISHED,2.295932,0.000000,3,75734.000000,75734.000000
pricing-n020-set02-m2-random-medium-n10-wwide-ng_dssr,FINISHED,4.095233,0.000000,6,83231.000000,83231.000000
pricing-n020-set02-m2-random-medium-n10-wwide-time_indexed,FINISHED,4.874442,0.000000,7,83231.000000,83231.000000
pricing-n020-set02-m2-random-medium-n10-wwide-time_indexed_sri,ROOT_PROCESSED,3.653522,0.000000,1,83231.000000,83231.000000
pricing-n020-set02-m3-random-medium-n10-wwide-ng_dssr,FINISHED,2.759554,0.000000,4,45936.000000,45936.000000
