taskSetId	setupType	scaleLevel	nominalScale	machines	instance	processingMismatches	centerMismatches	weightMismatches	setupMismatches	workloadScale	multiplierFingerprint	bodySha256
n020-set01	family	high	20	3	instances/data/n020-set01/family/high-heterogeneous/m3.dat	0	0	0	0	20.000000000000	2626d973790284adf781d08c53aef0f1a8cbdc2457a4ec8b30fe27abf4c07e87	d2f9c7491e57435b754169cd6ebdde538bdffaadd5ff857df3e028d46dbf8884
n020-set01	family	high	20	4	instances/data/n020-set01/family/high-heterogeneous/m4.dat	0	0	0	0	20.000000000000	2626d973790284adf781d08c53aef0f1a8cbdc2457a4ec8b30fe27abf4c07e87	7c0f5c936da39a9fd536f24dd66ee1f4cf115468637fc3deb872bd402a91a8b9
n020-set02	random	medium	10	2	instances/data/n020-set02/random/medium-heterogeneous/m2.dat	0	0	0	0	9.999103139013	5c5968fe6811ef68e4602c18a9978df62e36d04d0ac0d9e0241cb9c7568d5d60	c4b71e8506a35a90937545ba0b412f041959ad48d3d1b3b037dccb01cd296359
n020-set02	random	medium	10	3	instances/data/n020-set02/random/medium-heterogeneous/m3.dat	0	0	0	0	9.999103139013	5c5968fe6811ef68e4602c18a9978df62e36d04d0ac0d9e0241cb9c7568d5d60	9fb880aa1171cca3c25dceb7cb75564bad87622cf1991fa6f148fe1fa02d8996
n020-set02	random	medium	10	4	instances/data/n020-set02/random/medium-heterogeneous/m4.dat	0	0	0	0	9.999103139013	5c5968fe6811ef68e4602c18a9978df62e36d04d0ac0d9e0241cb9c7568d5d60	f62065e00bd3bb1ce0514454c6ce9a7ae62109057f3ea53d92e76a96da874ef3
n020-set02	random	high	20	2	instances/data/n020-set02/random/high-heterogeneous/m2.dat	0	0	0	0	19.999103139013	6310d99d2b8b7a68d94ea527187f9faab43e62f6cbbb1e9563e2153d6c8d8364	3a1ad8f96f9a78ae28f977851277cf3911818507a0e9f2c10d6551ed2c324574
n020-set02	random	high	20	3	instances/data/n020-set02/random/high-heterogeneous/m3.dat	0	0	0	0	19.999103139013	6310d99d2b8b7a68d94ea527187f9faab43e62f6cbbb1e9563e2153d6c8d8364	0555bdb708829becfd9f23d9c3259c54563d364edc54d333f6831554a157cd8a
n020-set02	random	high	20	4	instances/data/n020-set02/random/high-heterogeneous/m4.dat	0	0	0	0	19.999103139013	6310d99d2b8b7a68d94ea527187f9faab43e62f6cbbb1e9563e2153d6c8d8364	42d87feaf32971cb5bed743dc11fd0260edc3c6ff18ad1ab814da9ae66be0cac
n020-set02	family	medium	10	2	instances/data/n020-set02/family/medium-heterogeneous/m2.dat	0	0	0	0	9.999103139013	5c5968fe6811ef68e4602c18a9978df62e36d04d0ac0d9e0241cb9c7568d5d60	933165aa181854cdc6d1fa51e48de6c73ed8a19f76621f222d72d96d2c91ad2d
n020-set02	family	medium	10	3	instances/data/n020-set02/family/medium-heterogeneous/m3.dat	0	0	0	0	9.999103139013	5c5968fe6811ef68e4602c18a9978df62e36d04d0ac0d9e0241cb9c7568d5d60	98d5af5cdc7555d5a7c7c1d6034bfc2b777df067a7b085740cbb850e45a5b090
n020-set02	family	medium	10	4	instances/data/n020-set02/family/medium-heterogeneous/m4.dat	0	0	0	0	9.999103139013	5c5968fe6811ef68e4602c18a9978df62e36d04d0ac0d9e0241cb9c7568d5d60	4c706414343c555802c20c1a568c01d9bd8f61e5e44c3bc426f6d816ea10f130
n020-set02	family	high	20	2	instances/data/n020-set02/family/high-heterogeneous/m2.dat	0	0	0	0	19.999103139013	6310d99d2b8b7a68d94ea527187f9faab43e62f6cbbb1e9563e2153d6c8d8364	e621e09ef41741d0f9b96959ab943f90f7091e1daa13c9831707f1fab076a650
n020-set02	family	high	20	3	instances/data/n020-set02/family/high-heterogeneous/m3.dat	0	0	0	0	19.999103139013	6310d99d2b8b7a68d94ea527187f9faab43e62f6cbbb1e9563e2153d6c8d8364	58c167d1b6e8eec9c57dad3351545963096e731db5669fe18f143d1850d9f094
n020-set02	family	high	20	4	instances/data/n020-set02/family/high-heterogeneous/m4.dat	0	0	0	0	19.999103139013	6310d99d2b8b7a68d94ea527187f9faab43e62f6cbbb1e9563e2153d6c8d8364	2b2b93fb3a58b993cb90a1d593d806e62d1961a9bdc0daf13c9261eeb3319002
n020-set03	random	medium	10	2	instances/data/n020-set03/random/medium-heterogeneous/m2.dat	0	0	0	0	10.000000000000	db9c9c410d964895985a2fc6b9b97ec740ab2a72f86ada3ebc190a70f4af0cdb	3b1850db90d0b8dd9431ce98782c733a9daba4147e3052b8a90b7c47e2c9d5cf
n020-set03	random	medium	10	3	instances/data/n020-set03/random/medium-heterogeneous/m3.dat	0	0	0	0	10.000000000000	db9c9c410d964895985a2fc6b9b97ec740ab2a72f86ada3ebc190a70f4af0cdb	281b40ee5c8be54b53b764d8ba2597750639e905ff5d36252998b2a86215379b
n020-set03	random	medium	10	4	instances/data/n020-set03/random/medium-heterogeneous/m4.dat	0	0	0	0	10.000000000000	db9c9c410d964895985a2fc6b9b97ec740ab2a72f86ada3ebc190a70f4af0cdb	05c6f7e7817860826157b3bc5454a33088c7b232920dc6d515ecdf045ad99628
n020-set03	random	high	20	2	instances/data/n020-set03/random/high-heterogeneous/m2.dat	0	0	0	0	20.000000000000	4aa6291da2658042d9b4f9c78cd25caddb492ab59ebc728daa38e03722e4b19c	14454434997e3f0625a92ce546846f069f5ecb60a9cdda4c1c1bf241dbd05d86
n020-set03	random	high	20	3	instances/data/n020-set03/random/high-heterogeneous/m3.dat	0	0	0	0	20.000000000000	4aa6291da2658042d9b4f9c78cd25caddb492ab59ebc728daa38e03722e4b19c	498fb400c918410a540113325740c01586be7f9f3ba323a7d8ef6fcbb5a52a1a
n020-set03	random	high	20	4	instances/data/n020-set03/random/high-heterogeneous/m4.dat	0	0	0	0	20.000000000000	4aa6291da2658042d9b4f9c78cd25caddb492ab59ebc728daa38e03722e4b19c	4146eb249fdf358d57fc3cdf637b530281c054cf59dedbcc325227cde0dea441
n020-set03	family	medium	10	2	instances/data/n020-set03/family/medium-heterogeneous/m2.dat	0	0	0	0	10.000000000000	db9c9c410d964895985a2fc6b9b97ec740ab2a72f86ada3ebc190a70f4af0cdb	4725e6d4b4e5eb83c04a46a5956a52641be8e17c99f3f226339b47722129f40b
n020-set03	family	medium	10	3	instances/data/n020-set03/family/medium-heterogeneous/m3.dat	0	0	0	0	10.000000000000	db9c9c410d964895985a2fc6b9b97ec740ab2a72f86ada3ebc190a70f4af0cdb	4d98f7351effcfde4e4cb864103aad1819042e58052075d2c2118dcb8dbf51f8
n020-set03	family	medium	10	4	instances/data/n020-set03/family/medium-heterogeneous/m4.dat	0	0	0	0	10.000000000000	db9c9c410d964895985a2fc6b9b97ec740ab2a72f86ada3ebc190a70f4af0cdb	6db9a14bf1bc04cc0e92da207646785d6ad63d5553492abbf3c7f874995f91e7
n020-set03	family	high	20	2	instances/data/n020-set03/family/high-heterogeneous/m2.dat	0	0	0	0	20.000000000000	4aa6291da2658042d9b4f9c78cd25caddb492ab59ebc728daa38e03722e4b19c	4c2bca6b423d6af2feee289c8f31633b73b6168dc1f31d0deba1c3c8f6270c87
n020-set03	family	high	20	3	instances/data/n020-set03/family/high-heterogeneous/m3.dat	0	0	0	0	20.000000000000	4aa6291da2658042d9b4f9c78cd25caddb492ab59ebc728daa38e03722e4b19c	cb4c0ea4b832e0c91ce80de6fcf33d5aa7fe85f0c353b814677c41c03dd728a2
n020-set03	family	high	20	4	instances/data/n020-set03/family/high-heterogeneous/m4.dat	0	0	0	0	20.000000000000	4aa6291da2658042d9b4f9c78cd25caddb492ab59ebc728daa38e03722e4b19c	455c3b6390f7cbd4499ce39e62566f2f23853fb528986da8b2417d0a92cc901a
n020-set04	random	medium	10	2	instances/data/n020-set04/random/medium-heterogeneous/m2.dat	0	0	0	0	9.998787878788	be28be1ba333de5161d66d63ae0302a579781380a2a4c931eb7e3546ae7c3d44	1f63fa101b08a0ac60ac3a8a0ff6025439184204f902c06ff9aa8808679aa2e9
n020-set04	random	medium	10	3	instances/data/n020-set04/random/medium-heterogeneous/m3.dat	0	0	0	0	9.998787878788	be28be1ba333de5161d66d63ae0302a579781380a2a4c931eb7e3546ae7c3d44	b7fb988f7aa08ca80a54297f241edbfaa0477b0f5a195f26ea64be9c83a49c6f
n020-set04	random	medium	10	4	instances/data/n020-set04/random/medium-heterogeneous/m4.dat	0	0	0	0	9.998787878788	be28be1ba333de5161d66d63ae0302a579781380a2a4c931eb7e3546ae7c3d44	4da743db2f641f72e7976c35c29272988cab0b9c7b172d1a627a79223c22d958
n020-set04	random	high	20	2	instances/data/n020-set04/random/high-heterogeneous/m2.dat	0	0	0	0	19.998787878788	ca8b2f7242b2e78f700139058026a80ae733ba393d3ef5abe7caa7adcb130481	6b28c3af851516eff1ec9f9006da7163b7ed7b79496acfbef8e66497ba49fe74
n020-set04	random	high	20	3	instances/data/n020-set04/random/high-heterogeneous/m3.dat	0	0	0	0	19.998787878788	ca8b2f7242b2e78f700139058026a80ae733ba393d3ef5abe7caa7adcb130481	e8b15ba64efaeecbf213af1b937a09ea98607bc9bef74203fed89a06a521d5e6
n020-set04	random	high	20	4	instances/data/n020-set04/random/high-heterogeneous/m4.dat	0	0	0	0	19.998787878788	ca8b2f7242b2e78f700139058026a80ae733ba393d3ef5abe7caa7adcb130481	cff548ec2778a81a1268a5a6da31fd996085e3c2648ed828a2b7f576a9fc3ae3
n020-set04	family	medium	10	2	instances/data/n020-set04/family/medium-heterogeneous/m2.dat	0	0	0	0	9.998787878788	be28be1ba333de5161d66d63ae0302a579781380a2a4c931eb7e3546ae7c3d44	e6e424a05093a61468cc4e7b292d3ba612de893aaa013b2cd3b75335e88380cc
n020-set04	family	medium	10	3	instances/data/n020-set04/family/medium-heterogeneous/m3.dat	0	0	0	0	9.998787878788	be28be1ba333de5161d66d63ae0302a579781380a2a4c931eb7e3546ae7c3d44	124914e8d82969832e97c9d48f9245723ee2b1930c6cb24a5d99d98858bea5ca
n020-set04	family	medium	10	4	instances/data/n020-set04/family/medium-heterogeneous/m4.dat	0	0	0	0	9.998787878788	be28be1ba333de5161d66d63ae0302a579781380a2a4c931eb7e3546ae7c3d44	b320cd3d7f3f7d93e08e85baa4f83e1b8b6264d6f295e068d1e7f8bd51b0872c
n020-set04	family	high	20	2	instances/data/n020-set04/family/high-heterogeneous/m2.dat	0	0	0	0	19.998787878788	ca8b2f7242b2e78f700139058026a80ae733ba393d3ef5abe7caa7adcb130481	7f29d047230c8dd5b4ae99cc35932c03f0e878701401b151f7657baf71faf63f
n020-set04	family	high	20	3	instances/data/n020-set04/family/high-heterogeneous/m3.dat	0	0	0	0	19.998787878788	ca8b2f7242b2e78f700139058026a80ae733ba393d3ef5abe7caa7adcb130481	0f7361ca6b680f0d71c13bbce765737f2a348e1b093c37c5735f06556e29ebc1
n020-set04	family	high	20	4	instances/data/n020-set04/family/high-heterogeneous/m4.dat	0	0	0	0	19.998787878788	ca8b2f7242b2e78f700139058026a80ae733ba393d3ef5abe7caa7adcb130481	a2afef0fe78a4245c6a1b6f62a8db052332d82ed96c472aeba21165e3a5ca631
n020-set05	random	medium	10	2	instances/data/n020-set05/random/medium-heterogeneous/m2.dat	0	0	0	0	10.000940733772	7485a397c2da02d3e09d7fb8137480568e2f018ccd79166785d36ca1e39242c3	66b150aba8e6b0138fc145e1ceae7450e92083ddd5d1b378f3081cd5826e612e
n020-set05	random	medium	10	3	instances/data/n020-set05/random/medium-heterogeneous/m3.dat	0	0	0	0	10.000940733772	7485a397c2da02d3e09d7fb8137480568e2f018ccd79166785d36ca1e39242c3	3f865431ea517699d18df6feaa902bbbee3eef8df85c6eba594ceb30fbf7146b
n020-set05	random	medium	10	4	instances/data/n020-set05/random/medium-heterogeneous/m4.dat	0	0	0	0	10.000940733772	7485a397c2da02d3e09d7fb8137480568e2f018ccd79166785d36ca1e39242c3	6eb351116efde874c17bf09346b81a2d8efdf5f0c68557a71bdcd3051e410bc5
n020-set05	random	high	20	2	instances/data/n020-set05/random/high-heterogeneous/m2.dat	0	0	0	0	20.000940733772	926012f94053995d33447ddfaac19560e85863ef769ce82f474a3499e2e12a4d	56e71f4ffd171ac7de0b822fca505cbc8cb65ac0a03f52b1b47ceb038c34f272
n020-set05	random	high	20	3	instances/data/n020-set05/random/high-heterogeneous/m3.dat	0	0	0	0	20.000940733772	926012f94053995d33447ddfaac19560e85863ef769ce82f474a3499e2e12a4d	0407dad7e9f83b77535a8004abe63eccecd12251c931f3d71d3a4db23e63d794
n020-set05	random	high	20	4	instances/data/n020-set05/random/high-heterogeneous/m4.dat	0	0	0	0	20.000940733772	926012f94053995d33447ddfaac19560e85863ef769ce82f474a3499e2e12a4d	c5fd3eb70f8aca4d9fabe9adbdf9f29cac18aaa469325e40a04b0578e9a7f13d
n020-set05	family	medium	10	2	instances/data/n020-set05/family/medium-heterogeneous/m2.dat	0	0	0	0	10.000940733772	7485a397c2da02d3e09d7fb8137480568e2f018ccd79166785d36ca1e39242c3	f42e0f3e6dbfec5e8f50c9bfe0b951706ad3891d8c4d7aad48eb86727f0d6cb5
n020-set05	family	medium	10	3	instances/data/n020-set05/family/medium-heterogeneous/m3.dat	0	0	0	0	10.000940733772	7485a397c2da02d3e09d7fb8137480568e2f018ccd79166785d36ca1e39242c3	18f2c6dfe164a9343c1fc8ae24685e307c439dc93e716649863d757ba3806608
n020-set05	family	medium	10	4	instances/data/n020-set05/family/medium-heterogeneous/m4.dat	0	0	0	0	10.000940733772	7485a397c2da02d3e09d7fb8137480568e2f018ccd79166785d36ca1e39242c3	f524a822e40d70f1cf7f7b2b857714866296be3a2508ccd7b1274dd524a21359
n020-set05	family	high	20	2	instances/data/n020-set05/family/high-heterogeneous/m2.dat	0	0	0	0	20.000940733772	926012f94053995d33447ddfaac19560e85863ef769ce82f474a3499e2e12a4d	616a74d5fb54724618e0d05aad5486e6648795491296834e59553ba9d5635d70
n020-set05	family	high	20	3	instances/data/n020-set05/family/high-heterogeneous/m3.dat	0	0	0	0	20.000940733772	926012f94053995d33447ddfaac19560e85863ef769ce82f474a3499e2e12a4d	ff90077b884c06fd8339f66777a6b78cb7d2903754aa3846da81fb8825cec2fb
n020-set05	family	high	20	4	instances/data/n020-set05/family/high-heterogeneous/m4.dat	0	0	0	0	20.000940733772	926012f94053995d33447ddfaac19560e85863ef769ce82f474a3499e2e12a4d	0055c412f564846ea040b98eda9072d90ba6976e4fe86f0d60644f4068d4f0c6
n040-set01	random	medium	10	2	instances/data/n040-set01/random/medium-heterogeneous/m2.dat	0	0	0	0	10.000000000000	a43917317230a678097e706b695f9e88eb84a8a3c3beaeda3607c98b1dcf57f4	18438bd551eae8022c6bc97c84179cc32d3fa188ba3153a86e38962e4b559748
n040-set01	random	medium	10	3	instances/data/n040-set01/random/medium-heterogeneous/m3.dat	0	0	0	0	10.000000000000	a43917317230a678097e706b695f9e88eb84a8a3c3beaeda3607c98b1dcf57f4	aa0ca195838efa44efc077fa6ed231596cf08215a55c80e37065f404cf8a0bdd
n040-set01	random	medium	10	4	instances/data/n040-set01/random/medium-heterogeneous/m4.dat	0	0	0	0	10.000000000000	a43917317230a678097e706b695f9e88eb84a8a3c3beaeda3607c98b1dcf57f4	0deff0efe94171d452711f7e1ce73b4cbd560568a6556757d4af498f69d06060
n040-set01	random	high	20	2	instances/data/n040-set01/random/high-heterogeneous/m2.dat	0	0	0	0	20.000000000000	23eacdd26ae5f76f6d02cffdbaa967f7ef07b496fee44edee134bd518a18eb1a	36c6fe48eed0c5c68d3eab77c6e703686d61c04d279afb79644246d23a3b7474
n040-set01	random	high	20	3	instances/data/n040-set01/random/high-heterogeneous/m3.dat	0	0	0	0	20.000000000000	23eacdd26ae5f76f6d02cffdbaa967f7ef07b496fee44edee134bd518a18eb1a	e2770af83874f27749d5d64c44c8f292c49aee841e3e68d855e1751ae5d91ce4
n040-set01	random	high	20	4	instances/data/n040-set01/random/high-heterogeneous/m4.dat	0	0	0	0	20.000000000000	23eacdd26ae5f76f6d02cffdbaa967f7ef07b496fee44edee134bd518a18eb1a	226a80eebe9a5e6d9e1d06a23de951bc0804251bdcabfb87b2831ca5b6e78469
n040-set01	family	medium	10	2	instances/data/n040-set01/family/medium-heterogeneous/m2.dat	0	0	0	0	10.000000000000	a43917317230a678097e706b695f9e88eb84a8a3c3beaeda3607c98b1dcf57f4	5eb4003c965aaaa4800d3a1980d7b31816ed66afbd2189a5d4998e51d3abd53f
n040-set01	family	medium	10	3	instances/data/n040-set01/family/medium-heterogeneous/m3.dat	0	0	0	0	10.000000000000	a43917317230a678097e706b695f9e88eb84a8a3c3beaeda3607c98b1dcf57f4	698a0e1a0eddbcd90f26b33c7041a7a4e082364c82df122681e93a1113a29ffa
n040-set01	family	medium	10	4	instances/data/n040-set01/family/medium-heterogeneous/m4.dat	0	0	0	0	10.000000000000	a43917317230a678097e706b695f9e88eb84a8a3c3beaeda3607c98b1dcf57f4	9f3898e34844e720843276f2e3795b9522e57db7944b4dca8b46ab6631211ad2
n040-set01	family	high	20	2	instances/data/n040-set01/family/high-heterogeneous/m2.dat	0	0	0	0	20.000000000000	23eacdd26ae5f76f6d02cffdbaa967f7ef07b496fee44edee134bd518a18eb1a	a99c891f2ca0954426a8733314dd330ea91506cf5580b500220f8c5b978963a2
n040-set01	family	high	20	3	instances/data/n040-set01/family/high-heterogeneous/m3.dat	0	0	0	0	20.000000000000	23eacdd26ae5f76f6d02cffdbaa967f7ef07b496fee44edee134bd518a18eb1a	a044a8239e70f578ca21652dc9da26bbe590283eb63d26192bab64f1642a2780
n040-set01	family	high	20	4	instances/data/n040-set01/family/high-heterogeneous/m4.dat	0	0	0	0	20.000000000000	23eacdd26ae5f76f6d02cffdbaa967f7ef07b496fee44edee134bd518a18eb1a	fec8616a7570298fb430f84e3f8a22698525bc698a552c907117706fdea6e8af
n040-set02	random	medium	10	2	instances/data/n040-set02/random/medium-heterogeneous/m2.dat	0	0	0	0	10.000000000000	2329733c15e35d5c3cee038a7ce1df014a5fe7dc93c850e281a3c912efdbe69a	d0e1f3e9a96529857559420258942a4b1c7c28c03ddb3b16248378776a065f2c
n040-set02	random	medium	10	3	instances/data/n040-set02/random/medium-heterogeneous/m3.dat	0	0	0	0	10.000000000000	2329733c15e35d5c3cee038a7ce1df014a5fe7dc93c850e281a3c912efdbe69a	7afe62601a0285e67ffa2cd59c9289da86a27df3fc4a8c26cafe7291c0177388
n040-set02	random	medium	10	4	instances/data/n040-set02/random/medium-heterogeneous/m4.dat	0	0	0	0	10.000000000000	2329733c15e35d5c3cee038a7ce1df014a5fe7dc93c850e281a3c912efdbe69a	80f2de7d2d8465bb63941a3886e93365e1726e5100ecabd1b7a128fc21a82cc6
n040-set02	random	high	20	2	instances/data/n040-set02/random/high-heterogeneous/m2.dat	0	0	0	0	20.000000000000	41c201b2862f27a3fb785f1ff2c2da1944b0044b29e4389667e7efe71166bddd	3396ccff9f1865a629f42dfabed81078aa5e63be0fde8c868f75828994a18433
n040-set02	random	high	20	3	instances/data/n040-set02/random/high-heterogeneous/m3.dat	0	0	0	0	20.000000000000	41c201b2862f27a3fb785f1ff2c2da1944b0044b29e4389667e7efe71166bddd	243852cf0777f6ecb9a4da228ac47c6deaa82d44b2a115635019e8d84be773fc
n040-set02	random	high	20	4	instances/data/n040-set02/random/high-heterogeneous/m4.dat	0	0	0	0	20.000000000000	41c201b2862f27a3fb785f1ff2c2da1944b0044b29e4389667e7efe71166bddd	86c71b5d3b54a9e8b6a0b0f3adcabdadd7454f69cce4ff98e9eaf4ee9f7fbae9
n040-set02	family	medium	10	2	instances/data/n040-set02/family/medium-heterogeneous/m2.dat	0	0	0	0	10.000000000000	2329733c15e35d5c3cee038a7ce1df014a5fe7dc93c850e281a3c912efdbe69a	6242d759fe22d2be23d8b175e19efde62a52f1c0326c2e02bac91e0943886edf
n040-set02	family	medium	10	3	instances/data/n040-set02/family/medium-heterogeneous/m3.dat	0	0	0	0	10.000000000000	2329733c15e35d5c3cee038a7ce1df014a5fe7dc93c850e281a3c912efdbe69a	38ffa9f2c373e2a535f7b0a2f8ffd0060412b9dc5c0869ce907b4b7e109f339a
n040-set02	family	medium	10	4	instances/data/n040-set02/family/medium-heterogeneous/m4.dat	0	0	0	0	10.000000000000	2329733c15e35d5c3cee038a7ce1df014a5fe7dc93c850e281a3c912efdbe69a	b5cfd395cf8ff93f095ff93b8529caacbe25eefd89bbd75365aaf252d3ee66e0
n040-set02	family	high	20	2	instances/data/n040-set02/family/high-heterogeneous/m2.dat	0	0	0	0	20.000000000000	41c201b2862f27a3fb785f1ff2c2da1944b0044b29e4389667e7efe71166bddd	4ffc704573d2d841995967a1107329b75dd6a0012a543b7f930317d04f410b22
n040-set02	family	high	20	3	instances/data/n040-set02/family/high-heterogeneous/m3.dat	0	0	0	0	20.000000000000	41c201b2862f27a3fb785f1ff2c2da1944b0044b29e4389667e7efe71166bddd	0d079d70419f58cbd91838190a71b440cfef2ded772238ea3eb00b659db19441
n040-set02	family	high	20	4	instances/data/n040-set02/family/high-heterogeneous/m4.dat	0	0	0	0	20.000000000000	41c201b2862f27a3fb785f1ff2c2da1944b0044b29e4389667e7efe71166bddd	c40b1d29d62e2e3f4c7e974a03cc628ef10e21727c80dbc4141273460152f257
n040-set03	random	medium	10	2	instances/data/n040-set03/random/medium-heterogeneous/m2.dat	0	0	0	0	10.000000000000	58acb044826a77bb2de842de7230e080ffe35c68c163fa95def593034c84395b	43528a07c91a7502648de66ec55cebaa89b27584da23525f2384cadc77a8cc23
n040-set03	random	medium	10	3	instances/data/n040-set03/random/medium-heterogeneous/m3.dat	0	0	0	0	10.000000000000	58acb044826a77bb2de842de7230e080ffe35c68c163fa95def593034c84395b	328907c13a1473af940bcdd417506862c3b68e1805084e51641a157ca3d38d0b
n040-set03	random	medium	10	4	instances/data/n040-set03/random/medium-heterogeneous/m4.dat	0	0	0	0	10.000000000000	58acb044826a77bb2de842de7230e080ffe35c68c163fa95def593034c84395b	ecc214ac0793ccc4d88cac1e736aca70a63da4a097cff63560ddd8e2061bc0e2
n040-set03	random	high	20	2	instances/data/n040-set03/random/high-heterogeneous/m2.dat	0	0	0	0	20.000000000000	1701da794b1b1e37a0bbbcc38053b955d558e07cf415acddc4077c29f3a1c19b	adfde8e0b8f1d9bb3b801dee7cef3a2a81a0d426f7f52393cdd1185852562d36
n040-set03	random	high	20	3	instances/data/n040-set03/random/high-heterogeneous/m3.dat	0	0	0	0	20.000000000000	1701da794b1b1e37a0bbbcc38053b955d558e07cf415acddc4077c29f3a1c19b	21823007a410a48d6ded1d2016c57a842d5a198de01bd2e2ef0beef662f2daf1
n040-set03	random	high	20	4	instances/data/n040-set03/random/high-heterogeneous/m4.dat	0	0	0	0	20.000000000000	1701da794b1b1e37a0bbbcc38053b955d558e07cf415acddc4077c29f3a1c19b	483a60cbfa27cb507bc7d2f01ec956400a161aa745aaf2ca50f32fb24f759d02
n040-set03	family	medium	10	2	instances/data/n040-set03/family/medium-heterogeneous/m2.dat	0	0	0	0	10.000000000000	58acb044826a77bb2de842de7230e080ffe35c68c163fa95def593034c84395b	81d5ac846c13270f106809d0b92bb475632763e455ae9af6416eac9f068db725
n040-set03	family	medium	10	3	instances/data/n040-set03/family/medium-heterogeneous/m3.dat	0	0	0	0	10.000000000000	58acb044826a77bb2de842de7230e080ffe35c68c163fa95def593034c84395b	a29639e9add6dc86d2a08b4d2c93dd3114d7ed4046a436c7d96bd5e189381e70
n040-set03	family	medium	10	4	instances/data/n040-set03/family/medium-heterogeneous/m4.dat	0	0	0	0	10.000000000000	58acb044826a77bb2de842de7230e080ffe35c68c163fa95def593034c84395b	c455956dc2b94285b23e268eb97b60076d6913872fb3961f8e49a7c67da24018
n040-set03	family	high	20	2	instances/data/n040-set03/family/high-heterogeneous/m2.dat	0	0	0	0	20.000000000000	1701da794b1b1e37a0bbbcc38053b955d558e07cf415acddc4077c29f3a1c19b	1db527e737acd4025a72238dfc7250622147a54c95dbbc553778eb4c886f3408
n040-set03	family	high	20	3	instances/data/n040-set03/family/high-heterogeneous/m3.dat	0	0	0	0	20.000000000000	1701da794b1b1e37a0bbbcc38053b955d558e07cf415acddc4077c29f3a1c19b	4ca579207f3b8d8588eb9eed6352defd404b0f56c6fc28928a2f2f8f8534da24
n040-set03	family	high	20	4	instances/data/n040-set03/family/high-heterogeneous/m4.dat	0	0	0	0	20.000000000000	1701da794b1b1e37a0bbbcc38053b955d558e07cf415acddc4077c29f3a1c19b	3062c82c69ce34bd3819a5f2865b9e151de705ae02cb180f58c97cbe138fa869
