taskSetId	setupType	scaleLevel	multiplier	targetMean	actualMean	meanError	cap	maximum	capHitRate	triangleViolations	floydChangedArcs	withinMean	betweenMean	rawMean	closedMean	firstFloydChangedArcs	calibrationScale	withinPairRatio	randomLocation	withinLocation	betweenLocation	familyByJob
n020-set02	family	high	25	696.875000000	696.842105263	-0.032894737	1375	1325	0.000000000	0	0	351.973684211	844.642857143	28.579759046	16.737993968	292	1.635253906250	0.300000000	27.991022174	10.800208633	40.978487574	0,0,0,1,2,2,2,1,2,1,1,1,1,2,1,2,0,0,0,0
n020-set03	random	base	1	25.025000000	25.023684211	-0.001315789	50	47	0.000000000	0	0	NaN	NaN	25.317125144	19.876968199	205	1.233886718750	0.300000000	25.032341068	NaN	NaN	NA
n020-set03	random	medium	5	125.125000000	125.118421053	-0.006578947	250	235	0.000000000	0	0	NaN	NaN	25.317125144	19.876968199	205	1.233886718750	0.300000000	25.032341068	NaN	NaN	NA
n020-set03	random	high	15	375.375000000	375.355263158	-0.019736842	750	705	0.000000000	0	0	NaN	NaN	25.317125144	19.876968199	205	1.233886718750	0.300000000	25.032341068	NaN	NaN	NA
n020-set03	family	base	1	25.025000000	25.023684211	-0.001315789	50	46	0.000000000	0	0	13.956140351	29.766917293	25.553489339	15.861928667	264	1.547363281250	0.300000000	25.032341068	9.695972055	36.291550142	2,2,0,1,2,0,1,1,1,1,2,1,0,0,2,0,1,2,0,0
n020-set03	family	medium	5	125.125000000	125.118421053	-0.006578947	250	230	0.000000000	0	0	69.780701754	148.834586466	25.553489339	15.861928667	264	1.547363281250	0.300000000	25.032341068	9.695972055	36.291550142	2,2,0,1,2,0,1,1,1,1,2,1,0,0,2,0,1,2,0,0
n020-set03	family	high	15	375.375000000	375.355263158	-0.019736842	750	690	0.000000000	0	0	209.342105263	446.503759398	25.553489339	15.861928667	264	1.547363281250	0.300000000	25.032341068	9.695972055	36.291550142	2,2,0,1,2,0,1,1,1,1,2,1,0,0,2,0,1,2,0,0
n020-set04	random	base	1	20.625000000	20.626315789	0.001315789	41	41	0.002631579	0	0	NaN	NaN	20.216936669	12.801571254	276	1.572265625000	0.300000000	20.662490619	NaN	NaN	NA
n020-set04	random	medium	10	206.250000000	206.263157895	0.013157895	410	410	0.002631579	0	0	NaN	NaN	20.216936669	12.801571254	276	1.572265625000	0.300000000	20.662490619	NaN	NaN	NA
n020-set04	random	high	20	412.500000000	412.526315789	0.026315789	820	820	0.002631579	0	0	NaN	NaN	20.216936669	12.801571254	276	1.572265625000	0.300000000	20.662490619	NaN	NaN	NA
n020-set04	family	base	1	20.625000000	20.623684211	-0.001315789	41	41	0.002631579	0	0	13.298245614	23.763157895	20.226526741	10.710442411	292	1.882324218750	0.300000000	20.662490619	7.991185760	30.073083304	1,2,0,0,0,0,1,0,1,0,2,1,0,1,1,1,2,2,2,2
n020-set04	family	medium	10	206.250000000	206.236842105	-0.013157895	410	410	0.002631579	0	0	132.982456140	237.631578947	20.226526741	10.710442411	292	1.882324218750	0.300000000	20.662490619	7.991185760	30.073083304	1,2,0,0,0,0,1,0,1,0,2,1,0,1,1,1,2,2,2,2
n020-set04	family	high	20	412.500000000	412.473684211	-0.026315789	820	820	0.002631579	0	0	265.964912281	475.263157895	20.226526741	10.710442411	292	1.882324218750	0.300000000	20.662490619	7.991185760	30.073083304	1,2,0,0,0,0,1,0,1,0,2,1,0,1,1,1,2,2,2,2
n020-set05	random	base	1	26.575000000	26.573684211	-0.001315789	53	50	0.000000000	0	0	NaN	NaN	27.823372055	19.209194647	256	1.357299804688	0.300000000	26.597191540	NaN	NaN	NA
n020-set05	random	medium	9	239.175000000	239.163157895	-0.011842105	477	450	0.000000000	0	0	NaN	NaN	27.823372055	19.209194647	256	1.357299804688	0.300000000	26.597191540	NaN	NaN	NA
n020-set05	random	high	19	504.925000000	504.900000000	-0.025000000	1007	950	0.000000000	0	0	NaN	NaN	27.823372055	19.209194647	256	1.357299804688	0.300000000	26.597191540	NaN	NaN	NA
n020-set05	family	base	1	26.575000000	26.573684211	-0.001315789	53	53	0.002631579	0	0	17.473684211	30.473684211	27.621286014	14.894296690	277	1.750488281250	0.300000000	26.597191540	10.296521773	38.613972832	2,2,0,2,0,0,2,1,0,0,1,0,2,1,0,1,1,1,1,2
n020-set05	family	medium	9	239.175000000	239.163157895	-0.011842105	477	477	0.002631579	0	0	157.263157895	274.263157895	27.621286014	14.894296690	277	1.750488281250	0.300000000	26.597191540	10.296521773	38.613972832	2,2,0,2,0,0,2,1,0,0,1,0,2,1,0,1,1,1,1,2
n020-set05	family	high	19	504.925000000	504.900000000	-0.025000000	1007	1007	0.002631579	0	0	332.000000000	579.000000000	27.621286014	14.894296690	277	1.750488281250	0.300000000	26.597191540	10.296521773	38.613972832	2,2,0,2,0,0,2,1,0,0,1,0,2,1,0,1,1,1,1,2
n040-set01	random	base	1	25.537500000	25.537820513	0.000320513	51	50	0.000000000	0	0	NaN	NaN	25.368882610	13.444556793	1292	1.862213134766	0.316666667	25.548533200	NaN	NaN	NA
n040-set01	random	medium	9	229.837500000	229.840384615	0.002884615	459	450	0.000000000	0	0	NaN	NaN	25.368882610	13.444556793	1292	1.862213134766	0.316666667	25.548533200	NaN	NaN	NA
n040-set01	random	high	19	485.212500000	485.218589744	0.006089744	969	950	0.000000000	0	0	NaN	NaN	25.368882610	13.444556793	1292	1.862213134766	0.316666667	25.548533200	NaN	NaN	NA
n040-set01	family	base	1	25.537500000	25.537820513	0.000320513	51	51	0.000641026	0	0	18.020242915	29.021575985	25.419494602	10.629611699	1287	2.355551719666	0.316666667	25.548533200	9.894540914	38.356977018	1,1,2,0,2,1,2,0,0,0,1,2,1,2,2,2,0,0,1,2,0,1,2,1,1,0,0,2,2,2,0,0,0,0,2,1,1,0,1,1
n040-set01	family	medium	9	229.837500000	229.840384615	0.002884615	459	459	0.000641026	0	0	162.182186235	261.194183865	25.419494602	10.629611699	1287	2.355551719666	0.316666667	25.548533200	9.894540914	38.356977018	1,1,2,0,2,1,2,0,0,0,1,2,1,2,2,2,0,0,1,2,0,1,2,1,1,0,0,2,2,2,0,0,0,0,2,1,1,0,1,1
n040-set01	family	high	19	485.212500000	485.218589744	0.006089744	969	969	0.000641026	0	0	342.384615385	551.409943715	25.419494602	10.629611699	1287	2.355551719666	0.316666667	25.548533200	9.894540914	38.356977018	1,1,2,0,2,1,2,0,0,0,1,2,1,2,2,2,0,0,1,2,0,1,2,1,1,0,0,2,2,2,0,0,0,0,2,1,1,0,1,1
n040-set02	random	base	1	27.500000000	27.500000000	0.000000000	55	55	0.001923077	0	0	NaN	NaN	27.239909611	13.446340263	1306	2.009140014648	0.316666667	27.500000000	NaN	NaN	NA
n040-set02	random	medium	8	220.000000000	220.000000000	0.000000000	440	440	0.001923077	0	0	NaN	NaN	27.239909611	13.446340263	1306	2.009140014648	0.316666667	27.500000000	NaN	NaN	NA
n040-set02	random	high	18	495.000000000	495.000000000	0.000000000	990	990	0.001923077	0	0	NaN	NaN	27.239909611	13.446340263	1306	2.009140014648	0.316666667	27.500000000	NaN	NaN	NA
n040-set02	family	base	1	27.500000000	27.500000000	0.000000000	55	55	0.002564103	0	0	20.870445344	30.572232645	27.153421486	10.272537991	1340	2.628234863281	0.316666667	27.500000000	10.654914346	41.235835819	0,0,2,2,2,2,0,1,2,1,0,2,1,1,2,0,0,1,2,1,2,1,0,1,0,2,0,1,1,1,2,0,0,1,0,0,1,0,2,2
n040-set02	family	medium	8	220.000000000	220.000000000	0.000000000	440	440	0.002564103	0	0	166.963562753	244.577861163	27.153421486	10.272537991	1340	2.628234863281	0.316666667	27.500000000	10.654914346	41.235835819	0,0,2,2,2,2,0,1,2,1,0,2,1,1,2,0,0,1,2,1,2,1,0,1,0,2,0,1,1,1,2,0,0,1,0,0,1,0,2,2
n040-set02	family	high	18	495.000000000	495.000000000	0.000000000	990	990	0.002564103	0	0	375.668016194	550.300187617	27.153421486	10.272537991	1340	2.628234863281	0.316666667	27.500000000	10.654914346	41.235835819	0,0,2,2,2,2,0,1,2,1,0,2,1,1,2,0,0,1,2,1,2,1,0,1,0,2,0,1,1,1,2,0,0,1,0,0,1,0,2,2
n040-set03	random	base	1	25.762500000	25.762179487	-0.000320513	51	51	0.002564103	0	0	NaN	NaN	25.483000201	12.702412093	1293	1.990234375000	0.316666667	25.842606872	NaN	NaN	NA
n040-set03	random	medium	6	154.575000000	154.573076923	-0.001923077	306	306	0.002564103	0	0	NaN	NaN	25.483000201	12.702412093	1293	1.990234375000	0.316666667	25.842606872	NaN	NaN	NA
n040-set03	random	high	16	412.200000000	412.194871795	-0.005128205	816	816	0.002564103	0	0	NaN	NaN	25.483000201	12.702412093	1293	1.990234375000	0.316666667	25.842606872	NaN	NaN	NA
n040-set03	family	base	1	25.762500000	25.762179487	-0.000320513	51	51	0.001923077	0	0	17.977732794	29.369606004	25.496527617	9.851101868	1342	2.564422607422	0.316666667	25.842606872	9.981717485	39.090855692	2,1,1,0,0,2,1,1,0,2,0,1,2,2,2,1,1,0,2,0,0,2,2,0,2,0,2,1,0,1,0,0,1,0,1,2,0,2,1,1
n040-set03	family	medium	6	154.575000000	154.573076923	-0.001923077	306	306	0.001923077	0	0	107.866396761	176.217636023	25.496527617	9.851101868	1342	2.564422607422	0.316666667	25.842606872	9.981717485	39.090855692	2,1,1,0,0,2,1,1,0,2,0,1,2,2,2,1,1,0,2,0,0,2,2,0,2,0,2,1,0,1,0,0,1,0,1,2,0,2,1,1
n040-set03	family	high	16	412.200000000	412.194871795	-0.005128205	816	816	0.001923077	0	0	287.643724696	469.913696060	25.496527617	9.851101868	1342	2.564422607422	0.316666667	25.842606872	9.981717485	39.090855692	2,1,1,0,0,2,1,1,0,2,0,1,2,2,2,1,1,0,2,0,0,2,2,0,2,0,2,1,0,1,0,0,1,0,1,2,0,2,1,1
n040-set04	random	base	1	22.400000000	22.400000000	0.000000000	44	44	0.001923077	0	0	NaN	NaN	22.615759515	12.897963242	1231	1.698852539063	0.316666667	22.526081352	NaN	NaN	NA
n040-set04	random	medium	12	268.800000000	268.800000000	0.000000000	528	528	0.001923077	0	0	NaN	NaN	22.615759515	12.897963242	1231	1.698852539063	0.316666667	22.526081352	NaN	NaN	NA
n040-set04	random	high	22	492.800000000	492.800000000	0.000000000	968	968	0.001923077	0	0	NaN	NaN	22.615759515	12.897963242	1231	1.698852539063	0.316666667	22.526081352	NaN	NaN	NA
n040-set04	family	base	1	22.400000000	22.400000000	0.000000000	44	44	0.003846154	0	0	15.145748988	25.761726079	22.613896563	9.337825531	1351	2.346084594727	0.316666667	22.526081352	8.678912049	34.308464972	0,2,0,2,1,0,2,0,1,0,2,2,1,2,0,0,0,1,0,1,0,2,0,2,1,0,1,1,1,2,2,1,2,0,1,2,1,0,1,2
n040-set04	family	medium	12	268.800000000	268.800000000	0.000000000	528	528	0.003846154	0	0	181.748987854	309.140712946	22.613896563	9.337825531	1351	2.346084594727	0.316666667	22.526081352	8.678912049	34.308464972	0,2,0,2,1,0,2,0,1,0,2,2,1,2,0,0,0,1,0,1,0,2,0,2,1,0,1,1,1,2,2,1,2,0,1,2,1,0,1,2
n040-set04	family	high	22	492.800000000	492.800000000	0.000000000	968	968	0.003846154	0	0	333.206477733	566.757973734	22.613896563	9.337825531	1351	2.346084594727	0.316666667	22.526081352	8.678912049	34.308464972	0,2,0,2,1,0,2,0,1,0,2,2,1,2,0,0,0,1,0,1,0,2,0,2,1,0,1,1,1,2,2,1,2,0,1,2,1,0,1,2
n040-set05	random	base	1	24.387500000	24.387179487	-0.000320513	48	48	0.000641026	0	0	NaN	NaN	24.348581347	14.490261555	1228	1.648742675781	0.316666667	24.508629011	NaN	NaN	NA
n040-set05	random	medium	5	121.937500000	121.935897436	-0.001602564	240	240	0.000641026	0	0	NaN	NaN	24.348581347	14.490261555	1228	1.648742675781	0.316666667	24.508629011	NaN	NaN	NA
n040-set05	random	high	15	365.812500000	365.807692308	-0.004807692	720	720	0.000641026	0	0	NaN	NaN	24.348581347	14.490261555	1228	1.648742675781	0.316666667	24.508629011	NaN	NaN	NA
n040-set05	family	base	1	24.387500000	24.387179487	-0.000320513	48	48	0.001923077	0	0	16.987854251	27.816135084	24.424215976	10.913272815	1272	2.189086914063	0.316666667	24.508629011	9.448971768	37.261527480	1,1,0,0,2,0,2,0,1,2,2,1,1,1,0,0,2,2,2,2,1,2,0,1,0,2,2,1,0,2,0,0,2,0,0,0,1,1,1,1
n040-set05	family	medium	5	121.937500000	121.935897436	-0.001602564	240	240	0.001923077	0	0	84.939271255	139.080675422	24.424215976	10.913272815	1272	2.189086914063	0.316666667	24.508629011	9.448971768	37.261527480	1,1,0,0,2,0,2,0,1,2,2,1,1,1,0,0,2,2,2,2,1,2,0,1,0,2,2,1,0,2,0,0,2,0,0,0,1,1,1,1
n040-set05	family	high	15	365.812500000	365.807692308	-0.004807692	720	720	0.001923077	0	0	254.817813765	417.242026266	24.424215976	10.913272815	1272	2.189086914063	0.316666667	24.508629011	9.448971768	37.261527480	1,1,0,0,2,0,2,0,1,2,2,1,1,1,0,0,2,2,2,2,1,2,0,1,0,2,2,1,0,2,0,0,2,0,0,0,1,1,1,1
n050-set01	random	base	1	26.100000000	26.100000000	0.000000000	52	52	0.000816327	0	0	NaN	NaN	25.832009712	12.206890835	2094	2.097335815430	0.235102041	26.129713848	NaN	NaN	NA
n050-set01	random	medium	13	339.300000000	339.300000000	0.000000000	676	676	0.000816327	0	0	NaN	NaN	25.832009712	12.206890835	2094	2.097335815430	0.235102041	26.129713848	NaN	NaN	NA
n050-set01	random	high	23	600.300000000	600.300000000	-0.000000000	1196	1196	0.000816327	0	0	NaN	NaN	25.832009712	12.206890835	2094	2.097335815430	0.235102041	26.129713848	NaN	NaN	NA
n050-set01	family	base	1	26.100000000	26.100000000	0.000000000	52	52	0.000816327	0	0	20.272569444	27.891141942	25.905973970	9.317574368	2116	2.748229980469	0.235102041	26.129713848	10.112482343	33.834951722	0,2,1,2,2,2,3,0,1,2,1,0,3,2,1,1,1,1,1,2,0,0,3,3,3,0,0,0,1,0,0,1,0,3,1,3,3,3,2,2,0,1,3,3,2,3,2,0,2,1
n050-set01	family	medium	13	339.300000000	339.300000000	0.000000000	676	676	0.000816327	0	0	263.543402778	362.584845251	25.905973970	9.317574368	2116	2.748229980469	0.235102041	26.129713848	10.112482343	33.834951722	0,2,1,2,2,2,3,0,1,2,1,0,3,2,1,1,1,1,1,2,0,0,3,3,3,0,0,0,1,0,0,1,0,3,1,3,3,3,2,2,0,1,3,3,2,3,2,0,2,1
n050-set01	family	high	23	600.300000000	600.300000000	-0.000000000	1196	1196	0.000816327	0	0	466.269097222	641.496264674	25.905973970	9.317574368	2116	2.748229980469	0.235102041	26.129713848	10.112482343	33.834951722	0,2,1,2,2,2,3,0,1,2,1,0,3,2,1,1,1,1,1,2,0,0,3,3,3,0,0,0,1,0,0,1,0,3,1,3,3,3,2,2,0,1,3,3,2,3,2,0,2,1
n050-set02	random	base	1	26.870000000	26.869795918	-0.000204082	53	53	0.000816327	0	0	NaN	NaN	26.839723777	13.293712182	2061	1.984252929688	0.235102041	26.984628413	NaN	NaN	NA
n050-set02	random	medium	11	295.570000000	295.567755102	-0.002244898	583	583	0.000816327	0	0	NaN	NaN	26.839723777	13.293712182	2061	1.984252929688	0.235102041	26.984628413	NaN	NaN	NA
n050-set02	random	high	21	564.270000000	564.265714286	-0.004285714	1113	1113	0.000816327	0	0	NaN	NaN	26.839723777	13.293712182	2061	1.984252929688	0.235102041	26.984628413	NaN	NaN	NA
n050-set02	family	base	1	26.870000000	26.869795918	-0.000204082	53	53	0.000408163	0	0	20.909722222	28.701707577	26.775515117	10.417457889	2091	2.531639099121	0.235102041	26.984628413	10.410819945	35.122885207	3,1,0,1,2,3,0,1,1,2,2,0,1,1,0,1,0,2,2,3,3,3,2,3,2,3,3,1,3,2,1,1,1,1,1,2,0,0,0,3,0,3,2,0,2,0,0,2,3,0
n050-set02	family	medium	11	295.570000000	295.567755102	-0.002244898	583	583	0.000408163	0	0	230.006944444	315.718783351	26.775515117	10.417457889	2091	2.531639099121	0.235102041	26.984628413	10.410819945	35.122885207	3,1,0,1,2,3,0,1,1,2,2,0,1,1,0,1,0,2,2,3,3,3,2,3,2,3,3,1,3,2,1,1,1,1,1,2,0,0,0,3,0,3,2,0,2,0,0,2,3,0
n050-set02	family	high	21	564.270000000	564.265714286	-0.004285714	1113	1113	0.000408163	0	0	439.104166667	602.735859125	26.775515117	10.417457889	2091	2.531639099121	0.235102041	26.984628413	10.410819945	35.122885207	3,1,0,1,2,3,0,1,1,2,2,0,1,1,0,1,0,2,2,3,3,3,2,3,2,3,3,1,3,2,1,1,1,1,1,2,0,0,0,3,0,3,2,0,2,0,0,2,3,0
n050-set03	random	base	1	25.510000000	25.510204082	0.000204082	51	51	0.001224490	0	0	NaN	NaN	25.239561605	12.479343075	2053	2.004455566406	0.235102041	25.512929000	NaN	NaN	NA
n050-set03	random	medium	5	127.550000000	127.551020408	0.001020408	255	255	0.001224490	0	0	NaN	NaN	25.239561605	12.479343075	2053	2.004455566406	0.235102041	25.512929000	NaN	NaN	NA
n050-set03	random	high	15	382.650000000	382.653061224	0.003061224	765	765	0.001224490	0	0	NaN	NaN	25.239561605	12.479343075	2053	2.004455566406	0.235102041	25.512929000	NaN	NaN	NA
n050-set03	family	base	1	25.510000000	25.510204082	0.000204082	51	51	0.001632653	0	0	19.038194444	27.499466382	25.367562597	9.288377913	2128	2.692489624023	0.235102041	25.512929000	9.883885999	32.979136423	3,3,1,1,0,3,2,2,1,0,2,2,3,3,2,0,1,3,1,2,3,2,1,0,3,3,0,2,0,1,2,3,0,0,0,2,0,0,0,2,2,1,3,1,3,1,0,1,1,1
n050-set03	family	medium	5	127.550000000	127.551020408	0.001020408	255	255	0.001632653	0	0	95.190972222	137.497331910	25.367562597	9.288377913	2128	2.692489624023	0.235102041	25.512929000	9.883885999	32.979136423	3,3,1,1,0,3,2,2,1,0,2,2,3,3,2,0,1,3,1,2,3,2,1,0,3,3,0,2,0,1,2,3,0,0,0,2,0,0,0,2,2,1,3,1,3,1,0,1,1,1
n050-set03	family	high	15	382.650000000	382.653061224	0.003061224	765	765	0.001632653	0	0	285.572916667	412.491995731	25.367562597	9.288377913	2128	2.692489624023	0.235102041	25.512929000	9.883885999	32.979136423	3,3,1,1,0,3,2,2,1,0,2,2,3,3,2,0,1,3,1,2,3,2,1,0,3,3,0,2,0,1,2,3,0,0,0,2,0,0,0,2,2,1,3,1,3,1,0,1,1,1
n050-set04	random	base	1	21.700000000	21.700000000	0.000000000	43	43	0.001224490	0	0	NaN	NaN	21.809625541	10.762087470	2073	1.969665527344	0.235102041	21.760784754	NaN	NaN	NA
n050-set04	random	medium	9	195.300000000	195.300000000	0.000000000	387	387	0.001224490	0	0	NaN	NaN	21.809625541	10.762087470	2073	1.969665527344	0.235102041	21.760784754	NaN	NaN	NA
n050-set04	random	high	19	412.300000000	412.300000000	0.000000000	817	817	0.001224490	0	0	NaN	NaN	21.809625541	10.762087470	2073	1.969665527344	0.235102041	21.760784754	NaN	NaN	NA
n050-set04	family	base	1	21.700000000	21.700000000	0.000000000	43	43	0.000408163	0	0	16.145833333	23.407150480	21.806374314	8.175996456	2143	2.591827392578	0.235102041	21.760784754	8.407696048	28.255803036	3,3,1,2,3,0,3,2,0,2,2,1,0,1,2,0,1,0,1,3,0,2,3,3,2,2,1,1,0,1,2,3,3,0,0,3,3,2,0,2,1,1,0,1,1,3,2,0,0,1
n050-set04	family	medium	9	195.300000000	195.300000000	0.000000000	387	387	0.000408163	0	0	145.312500000	210.664354322	21.806374314	8.175996456	2143	2.591827392578	0.235102041	21.760784754	8.407696048	28.255803036	3,3,1,2,3,0,3,2,0,2,2,1,0,1,2,0,1,0,1,3,0,2,3,3,2,2,1,1,0,1,2,3,3,0,0,3,3,2,0,2,1,1,0,1,1,3,2,0,0,1
n050-set04	family	high	19	412.300000000	412.300000000	0.000000000	817	817	0.000408163	0	0	306.770833333	444.735859125	21.806374314	8.175996456	2143	2.591827392578	0.235102041	21.760784754	8.407696048	28.255803036	3,3,1,2,3,0,3,2,0,2,2,1,0,1,2,0,1,0,1,3,0,2,3,3,2,2,1,1,0,1,2,3,3,0,0,3,3,2,0,2,1,1,0,1,1,3,2,0,0,1
n050-set05	random	base	1	22.550000000	22.549795918	-0.000204082	45	45	0.002040816	0	0	NaN	NaN	22.780046552	10.951075730	2095	2.013473510742	0.235102041	22.564757012	NaN	NaN	NA
n050-set05	random	medium	15	338.250000000	338.246938776	-0.003061224	675	675	0.002040816	0	0	NaN	NaN	22.780046552	10.951075730	2095	2.013473510742	0.235102041	22.564757012	NaN	NaN	NA
n050-set05	random	high	25	563.750000000	563.744897959	-0.005102041	1125	1125	0.002040816	0	0	NaN	NaN	22.780046552	10.951075730	2095	2.013473510742	0.235102041	22.564757012	NaN	NaN	NA
n050-set05	family	base	1	22.550000000	22.549795918	-0.000204082	45	45	0.001632653	0	0	18.222222222	23.879935966	22.771656287	8.180807084	2139	2.694580078125	0.235102041	22.564757012	8.737029764	29.194910809	0,0,2,1,1,3,2,0,2,0,3,2,3,1,1,3,0,0,1,1,3,1,2,1,3,1,0,1,2,0,0,0,3,2,0,2,1,2,3,2,1,2,3,1,3,2,0,0,3,3
n050-set05	family	medium	15	338.250000000	338.246938776	-0.003061224	675	675	0.001632653	0	0	273.333333333	358.199039488	22.771656287	8.180807084	2139	2.694580078125	0.235102041	22.564757012	8.737029764	29.194910809	0,0,2,1,1,3,2,0,2,0,3,2,3,1,1,3,0,0,1,1,3,1,2,1,3,1,0,1,2,0,0,0,3,2,0,2,1,2,3,2,1,2,3,1,3,2,0,0,3,3
n050-set05	family	high	25	563.750000000	563.744897959	-0.005102041	1125	1125	0.001632653	0	0	455.555555556	596.998399146	22.771656287	8.180807084	2139	2.694580078125	0.235102041	22.564757012	8.737029764	29.194910809	0,0,2,1,1,3,2,0,2,0,3,2,3,1,1,3,0,0,1,1,3,1,2,1,3,1,0,1,2,0,0,0,3,2,0,2,1,2,3,2,1,2,3,1,3,2,0,0,3,3
n060-set01	random	base	1	27.366666667	27.366666667	0.000000000	54	54	0.004802260	0	0	NaN	NaN	27.815288376	11.704574217	3113	2.297035217285	0.237288136	27.480084443	NaN	NaN	NA
n060-set01	random	medium	9	246.300000000	246.300000000	0.000000000	486	486	0.004802260	0	0	NaN	NaN	27.815288376	11.704574217	3113	2.297035217285	0.237288136	27.480084443	NaN	NaN	NA
n060-set01	random	high	19	519.966666667	519.966666667	0.000000000	1026	1026	0.004802260	0	0	NaN	NaN	27.815288376	11.704574217	3113	2.297035217285	0.237288136	27.480084443	NaN	NaN	NA
n060-set01	family	base	1	27.366666667	27.366666667	0.000000000	54	54	0.006497175	0	0	21.996428571	29.037407407	27.697590591	9.044521694	3165	2.971832275391	0.237288136	27.480084443	10.603254156	35.886305646	3,0,0,3,0,3,3,2,3,0,0,1,1,3,0,2,3,3,0,1,2,1,0,2,2,2,1,2,1,1,3,3,0,2,2,2,3,1,1,3,0,1,2,3,0,1,1,0,2,3,2,0,2,1,1,0,1,2,3,0
n060-set01	family	medium	9	246.300000000	246.300000000	0.000000000	486	486	0.006497175	0	0	197.967857143	261.336666667	27.697590591	9.044521694	3165	2.971832275391	0.237288136	27.480084443	10.603254156	35.886305646	3,0,0,3,0,3,3,2,3,0,0,1,1,3,0,2,3,3,0,1,2,1,0,2,2,2,1,2,1,1,3,3,0,2,2,2,3,1,1,3,0,1,2,3,0,1,1,0,2,3,2,0,2,1,1,0,1,2,3,0
n060-set01	family	high	19	519.966666667	519.966666667	0.000000000	1026	1026	0.006497175	0	0	417.932142857	551.710740741	27.697590591	9.044521694	3165	2.971832275391	0.237288136	27.480084443	10.603254156	35.886305646	3,0,0,3,0,3,3,2,3,0,0,1,1,3,0,2,3,3,0,1,2,1,0,2,2,2,1,2,1,1,3,3,0,2,2,2,3,1,1,3,0,1,2,3,0,1,1,0,2,3,2,0,2,1,1,0,1,2,3,0
n060-set02	random	base	1	25.875000000	25.874858757	-0.000141243	51	51	0.001694915	0	0	NaN	NaN	25.949124310	11.225369187	3131	2.260986328125	0.237288136	25.991532290	NaN	NaN	NA
n060-set02	random	medium	6	155.250000000	155.249152542	-0.000847458	306	306	0.001694915	0	0	NaN	NaN	25.949124310	11.225369187	3131	2.260986328125	0.237288136	25.991532290	NaN	NaN	NA
n060-set02	random	high	16	414.000000000	413.997740113	-0.002259887	816	816	0.001694915	0	0	NaN	NaN	25.949124310	11.225369187	3131	2.260986328125	0.237288136	25.991532290	NaN	NaN	NA
