taskSetId	rate	discountStrength	quotationTotal	segmentCount	experimentType	instance
n020-set01	0.500000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set01/random/base/wide/m4.dat
n020-set01	1.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set01/random/base/wide/m4.dat
n020-set01	2.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set01/random/base/wide/m4.dat
n020-set01	0.500000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set01/family/base/zero/m2.dat
n020-set01	1.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set01/family/base/zero/m2.dat
n020-set01	2.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set01/family/base/zero/m2.dat
n020-set01	0.500000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set01/family/base/zero/m3.dat
n020-set01	1.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set01/family/base/zero/m3.dat
n020-set01	2.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set01/family/base/zero/m3.dat
n020-set01	0.500000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set01/family/base/zero/m4.dat
n020-set01	1.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set01/family/base/zero/m4.dat
n020-set01	2.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set01/family/base/zero/m4.dat
n020-set01	0.500000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set01/family/base/narrow/m2.dat
n020-set01	1.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set01/family/base/narrow/m2.dat
n020-set01	2.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set01/family/base/narrow/m2.dat
n020-set01	0.500000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set01/family/base/narrow/m3.dat
n020-set01	1.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set01/family/base/narrow/m3.dat
n020-set01	2.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set01/family/base/narrow/m3.dat
n020-set01	0.500000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set01/family/base/narrow/m4.dat
n020-set01	1.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set01/family/base/narrow/m4.dat
n020-set01	2.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set01/family/base/narrow/m4.dat
n020-set01	0.500000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set01/family/base/wide/m2.dat
n020-set01	1.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set01/family/base/wide/m2.dat
n020-set01	2.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set01/family/base/wide/m2.dat
n020-set01	0.500000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set01/family/base/wide/m3.dat
n020-set01	1.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set01/family/base/wide/m3.dat
n020-set01	2.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set01/family/base/wide/m3.dat
n020-set01	0.500000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set01/family/base/wide/m4.dat
n020-set01	1.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set01/family/base/wide/m4.dat
n020-set01	2.000000	0.150000	6998.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set01/family/base/wide/m4.dat
n020-set02	0.500000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set02/random/base/zero/m2.dat
n020-set02	1.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set02/random/base/zero/m2.dat
n020-set02	2.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set02/random/base/zero/m2.dat
n020-set02	0.500000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set02/random/base/zero/m3.dat
n020-set02	1.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set02/random/base/zero/m3.dat
n020-set02	2.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set02/random/base/zero/m3.dat
n020-set02	0.500000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set02/random/base/zero/m4.dat
n020-set02	1.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set02/random/base/zero/m4.dat
n020-set02	2.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set02/random/base/zero/m4.dat
n020-set02	0.500000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set02/random/base/narrow/m2.dat
n020-set02	1.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set02/random/base/narrow/m2.dat
n020-set02	2.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set02/random/base/narrow/m2.dat
n020-set02	0.500000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set02/random/base/narrow/m3.dat
n020-set02	1.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set02/random/base/narrow/m3.dat
n020-set02	2.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set02/random/base/narrow/m3.dat
n020-set02	0.500000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set02/random/base/narrow/m4.dat
n020-set02	1.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set02/random/base/narrow/m4.dat
n020-set02	2.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set02/random/base/narrow/m4.dat
n020-set02	0.500000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set02/random/base/wide/m2.dat
n020-set02	1.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set02/random/base/wide/m2.dat
n020-set02	2.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set02/random/base/wide/m2.dat
n020-set02	0.500000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set02/random/base/wide/m3.dat
n020-set02	1.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set02/random/base/wide/m3.dat
n020-set02	2.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set02/random/base/wide/m3.dat
n020-set02	0.500000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set02/random/base/wide/m4.dat
n020-set02	1.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set02/random/base/wide/m4.dat
n020-set02	2.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set02/random/base/wide/m4.dat
n020-set02	0.500000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set02/family/base/zero/m2.dat
n020-set02	1.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set02/family/base/zero/m2.dat
n020-set02	2.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set02/family/base/zero/m2.dat
n020-set02	0.500000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set02/family/base/zero/m3.dat
n020-set02	1.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set02/family/base/zero/m3.dat
n020-set02	2.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set02/family/base/zero/m3.dat
n020-set02	0.500000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set02/family/base/zero/m4.dat
n020-set02	1.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set02/family/base/zero/m4.dat
n020-set02	2.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set02/family/base/zero/m4.dat
n020-set02	0.500000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set02/family/base/narrow/m2.dat
n020-set02	1.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set02/family/base/narrow/m2.dat
n020-set02	2.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set02/family/base/narrow/m2.dat
n020-set02	0.500000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set02/family/base/narrow/m3.dat
n020-set02	1.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set02/family/base/narrow/m3.dat
n020-set02	2.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set02/family/base/narrow/m3.dat
n020-set02	0.500000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set02/family/base/narrow/m4.dat
n020-set02	1.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set02/family/base/narrow/m4.dat
n020-set02	2.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set02/family/base/narrow/m4.dat
n020-set02	0.500000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set02/family/base/wide/m2.dat
n020-set02	1.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set02/family/base/wide/m2.dat
n020-set02	2.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set02/family/base/wide/m2.dat
n020-set02	0.500000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set02/family/base/wide/m3.dat
n020-set02	1.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set02/family/base/wide/m3.dat
n020-set02	2.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set02/family/base/wide/m3.dat
n020-set02	0.500000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set02/family/base/wide/m4.dat
n020-set02	1.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set02/family/base/wide/m4.dat
n020-set02	2.000000	0.150000	8228.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set02/family/base/wide/m4.dat
n020-set03	0.500000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set03/random/base/zero/m2.dat
n020-set03	1.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set03/random/base/zero/m2.dat
n020-set03	2.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set03/random/base/zero/m2.dat
n020-set03	0.500000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set03/random/base/zero/m3.dat
n020-set03	1.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set03/random/base/zero/m3.dat
n020-set03	2.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set03/random/base/zero/m3.dat
n020-set03	0.500000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set03/random/base/zero/m4.dat
n020-set03	1.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set03/random/base/zero/m4.dat
n020-set03	2.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set03/random/base/zero/m4.dat
n020-set03	0.500000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set03/random/base/narrow/m2.dat
n020-set03	1.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set03/random/base/narrow/m2.dat
n020-set03	2.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set03/random/base/narrow/m2.dat
n020-set03	0.500000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set03/random/base/narrow/m3.dat
n020-set03	1.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set03/random/base/narrow/m3.dat
n020-set03	2.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set03/random/base/narrow/m3.dat
n020-set03	0.500000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set03/random/base/narrow/m4.dat
n020-set03	1.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set03/random/base/narrow/m4.dat
n020-set03	2.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set03/random/base/narrow/m4.dat
n020-set03	0.500000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set03/random/base/wide/m2.dat
n020-set03	1.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set03/random/base/wide/m2.dat
n020-set03	2.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set03/random/base/wide/m2.dat
n020-set03	0.500000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set03/random/base/wide/m3.dat
n020-set03	1.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set03/random/base/wide/m3.dat
n020-set03	2.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set03/random/base/wide/m3.dat
n020-set03	0.500000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set03/random/base/wide/m4.dat
n020-set03	1.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set03/random/base/wide/m4.dat
n020-set03	2.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set03/random/base/wide/m4.dat
n020-set03	0.500000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set03/family/base/zero/m2.dat
n020-set03	1.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set03/family/base/zero/m2.dat
n020-set03	2.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set03/family/base/zero/m2.dat
n020-set03	0.500000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set03/family/base/zero/m3.dat
n020-set03	1.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set03/family/base/zero/m3.dat
n020-set03	2.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set03/family/base/zero/m3.dat
n020-set03	0.500000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set03/family/base/zero/m4.dat
n020-set03	1.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set03/family/base/zero/m4.dat
n020-set03	2.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set03/family/base/zero/m4.dat
n020-set03	0.500000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set03/family/base/narrow/m2.dat
n020-set03	1.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set03/family/base/narrow/m2.dat
n020-set03	2.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set03/family/base/narrow/m2.dat
n020-set03	0.500000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set03/family/base/narrow/m3.dat
n020-set03	1.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set03/family/base/narrow/m3.dat
n020-set03	2.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set03/family/base/narrow/m3.dat
n020-set03	0.500000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set03/family/base/narrow/m4.dat
n020-set03	1.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set03/family/base/narrow/m4.dat
n020-set03	2.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set03/family/base/narrow/m4.dat
n020-set03	0.500000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set03/family/base/wide/m2.dat
n020-set03	1.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set03/family/base/wide/m2.dat
n020-set03	2.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set03/family/base/wide/m2.dat
n020-set03	0.500000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set03/family/base/wide/m3.dat
n020-set03	1.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set03/family/base/wide/m3.dat
n020-set03	2.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set03/family/base/wide/m3.dat
n020-set03	0.500000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set03/family/base/wide/m4.dat
n020-set03	1.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set03/family/base/wide/m4.dat
n020-set03	2.000000	0.150000	8202.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set03/family/base/wide/m4.dat
n020-set04	0.500000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set04/random/base/zero/m2.dat
n020-set04	1.000000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set04/random/base/zero/m2.dat
n020-set04	2.000000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set04/random/base/zero/m2.dat
n020-set04	0.500000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set04/random/base/zero/m3.dat
n020-set04	1.000000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set04/random/base/zero/m3.dat
n020-set04	2.000000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set04/random/base/zero/m3.dat
n020-set04	0.500000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set04/random/base/zero/m4.dat
n020-set04	1.000000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set04/random/base/zero/m4.dat
n020-set04	2.000000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set04/random/base/zero/m4.dat
n020-set04	0.500000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set04/random/base/narrow/m2.dat
n020-set04	1.000000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set04/random/base/narrow/m2.dat
n020-set04	2.000000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set04/random/base/narrow/m2.dat
n020-set04	0.500000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set04/random/base/narrow/m3.dat
n020-set04	1.000000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set04/random/base/narrow/m3.dat
n020-set04	2.000000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set04/random/base/narrow/m3.dat
n020-set04	0.500000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set04/random/base/narrow/m4.dat
n020-set04	1.000000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set04/random/base/narrow/m4.dat
n020-set04	2.000000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set04/random/base/narrow/m4.dat
n020-set04	0.500000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set04/random/base/wide/m2.dat
n020-set04	1.000000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set04/random/base/wide/m2.dat
n020-set04	2.000000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set04/random/base/wide/m2.dat
n020-set04	0.500000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set04/random/base/wide/m3.dat
n020-set04	1.000000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set04/random/base/wide/m3.dat
n020-set04	2.000000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set04/random/base/wide/m3.dat
n020-set04	0.500000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set04/random/base/wide/m4.dat
n020-set04	1.000000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set04/random/base/wide/m4.dat
n020-set04	2.000000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set04/random/base/wide/m4.dat
n020-set04	0.500000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set04/family/base/zero/m2.dat
n020-set04	1.000000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set04/family/base/zero/m2.dat
n020-set04	2.000000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set04/family/base/zero/m2.dat
n020-set04	0.500000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set04/family/base/zero/m3.dat
n020-set04	1.000000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-1/n020-set04/family/base/zero/m3.dat
n020-set04	2.000000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-2/n020-set04/family/base/zero/m3.dat
n020-set04	0.500000	0.150000	6032.000000000	2	default-discount	instances/outsourcing-data/default-discount/rate-0.5/n020-set04/family/base/zero/m4.dat
