taskSetId	rate	discountStrength	breakpoint1	breakpoint2	quotationTotal	overlay
n050-set02	1.000000	0.000000	4283.750000000	8567.500000000	17135.000000000	outsourcing-data/n050-set02/rate-1-discount-none.dat
n050-set03	0.500000	0.150000	4283.750000000	8567.500000000	17882.000000000	outsourcing-data/n050-set03/rate-0.5-discount-default.dat
n050-set03	1.000000	0.150000	4283.750000000	8567.500000000	17882.000000000	outsourcing-data/n050-set03/rate-1-discount-default.dat
n050-set03	2.000000	0.150000	4283.750000000	8567.500000000	17882.000000000	outsourcing-data/n050-set03/rate-2-discount-default.dat
n050-set03	1.000000	0.000000	4283.750000000	8567.500000000	17882.000000000	outsourcing-data/n050-set03/rate-1-discount-none.dat
n050-set04	0.500000	0.150000	4283.750000000	8567.500000000	15000.000000000	outsourcing-data/n050-set04/rate-0.5-discount-default.dat
n050-set04	1.000000	0.150000	4283.750000000	8567.500000000	15000.000000000	outsourcing-data/n050-set04/rate-1-discount-default.dat
n050-set04	2.000000	0.150000	4283.750000000	8567.500000000	15000.000000000	outsourcing-data/n050-set04/rate-2-discount-default.dat
n050-set04	1.000000	0.000000	4283.750000000	8567.500000000	15000.000000000	outsourcing-data/n050-set04/rate-1-discount-none.dat
n050-set05	0.500000	0.150000	4283.750000000	8567.500000000	16661.000000000	outsourcing-data/n050-set05/rate-0.5-discount-default.dat
n050-set05	1.000000	0.150000	4283.750000000	8567.500000000	16661.000000000	outsourcing-data/n050-set05/rate-1-discount-default.dat
n050-set05	2.000000	0.150000	4283.750000000	8567.500000000	16661.000000000	outsourcing-data/n050-set05/rate-2-discount-default.dat
n050-set05	1.000000	0.000000	4283.750000000	8567.500000000	16661.000000000	outsourcing-data/n050-set05/rate-1-discount-none.dat
n060-set01	0.500000	0.150000	4283.750000000	8567.500000000	25285.000000000	outsourcing-data/n060-set01/rate-0.5-discount-default.dat
n060-set01	1.000000	0.150000	4283.750000000	8567.500000000	25285.000000000	outsourcing-data/n060-set01/rate-1-discount-default.dat
n060-set01	2.000000	0.150000	4283.750000000	8567.500000000	25285.000000000	outsourcing-data/n060-set01/rate-2-discount-default.dat
n060-set01	1.000000	0.000000	4283.750000000	8567.500000000	25285.000000000	outsourcing-data/n060-set01/rate-1-discount-none.dat
n060-set02	0.500000	0.150000	4283.750000000	8567.500000000	22799.000000000	outsourcing-data/n060-set02/rate-0.5-discount-default.dat
n060-set02	1.000000	0.150000	4283.750000000	8567.500000000	22799.000000000	outsourcing-data/n060-set02/rate-1-discount-default.dat
n060-set02	2.000000	0.150000	4283.750000000	8567.500000000	22799.000000000	outsourcing-data/n060-set02/rate-2-discount-default.dat
n060-set02	1.000000	0.000000	4283.750000000	8567.500000000	22799.000000000	outsourcing-data/n060-set02/rate-1-discount-none.dat
n060-set03	0.500000	0.150000	4283.750000000	8567.500000000	21426.000000000	outsourcing-data/n060-set03/rate-0.5-discount-default.dat
n060-set03	1.000000	0.150000	4283.750000000	8567.500000000	21426.000000000	outsourcing-data/n060-set03/rate-1-discount-default.dat
n060-set03	2.000000	0.150000	4283.750000000	8567.500000000	21426.000000000	outsourcing-data/n060-set03/rate-2-discount-default.dat
n060-set03	1.000000	0.000000	4283.750000000	8567.500000000	21426.000000000	outsourcing-data/n060-set03/rate-1-discount-none.dat
n060-set04	0.500000	0.150000	4283.750000000	8567.500000000	24504.000000000	outsourcing-data/n060-set04/rate-0.5-discount-default.dat
n060-set04	1.000000	0.150000	4283.750000000	8567.500000000	24504.000000000	outsourcing-data/n060-set04/rate-1-discount-default.dat
n060-set04	2.000000	0.150000	4283.750000000	8567.500000000	24504.000000000	outsourcing-data/n060-set04/rate-2-discount-default.dat
n060-set04	1.000000	0.000000	4283.750000000	8567.500000000	24504.000000000	outsourcing-data/n060-set04/rate-1-discount-none.dat
n060-set05	0.500000	0.150000	4283.750000000	8567.500000000	25025.000000000	outsourcing-data/n060-set05/rate-0.5-discount-default.dat
n060-set05	1.000000	0.150000	4283.750000000	8567.500000000	25025.000000000	outsourcing-data/n060-set05/rate-1-discount-default.dat
n060-set05	2.000000	0.150000	4283.750000000	8567.500000000	25025.000000000	outsourcing-data/n060-set05/rate-2-discount-default.dat
n060-set05	1.000000	0.000000	4283.750000000	8567.500000000	25025.000000000	outsourcing-data/n060-set05/rate-1-discount-none.dat
n080-set01	0.500000	0.150000	4283.750000000	8567.500000000	34466.000000000	outsourcing-data/n080-set01/rate-0.5-discount-default.dat
n080-set01	1.000000	0.150000	4283.750000000	8567.500000000	34466.000000000	outsourcing-data/n080-set01/rate-1-discount-default.dat
n080-set01	2.000000	0.150000	4283.750000000	8567.500000000	34466.000000000	outsourcing-data/n080-set01/rate-2-discount-default.dat
n080-set01	1.000000	0.000000	4283.750000000	8567.500000000	34466.000000000	outsourcing-data/n080-set01/rate-1-discount-none.dat
n080-set02	0.500000	0.150000	4283.750000000	8567.500000000	31721.000000000	outsourcing-data/n080-set02/rate-0.5-discount-default.dat
n080-set02	1.000000	0.150000	4283.750000000	8567.500000000	31721.000000000	outsourcing-data/n080-set02/rate-1-discount-default.dat
n080-set02	2.000000	0.150000	4283.750000000	8567.500000000	31721.000000000	outsourcing-data/n080-set02/rate-2-discount-default.dat
n080-set02	1.000000	0.000000	4283.750000000	8567.500000000	31721.000000000	outsourcing-data/n080-set02/rate-1-discount-none.dat
n080-set03	0.500000	0.150000	4283.750000000	8567.500000000	30380.000000000	outsourcing-data/n080-set03/rate-0.5-discount-default.dat
n080-set03	1.000000	0.150000	4283.750000000	8567.500000000	30380.000000000	outsourcing-data/n080-set03/rate-1-discount-default.dat
n080-set03	2.000000	0.150000	4283.750000000	8567.500000000	30380.000000000	outsourcing-data/n080-set03/rate-2-discount-default.dat
n080-set03	1.000000	0.000000	4283.750000000	8567.500000000	30380.000000000	outsourcing-data/n080-set03/rate-1-discount-none.dat
n080-set04	0.500000	0.150000	4283.750000000	8567.500000000	31917.000000000	outsourcing-data/n080-set04/rate-0.5-discount-default.dat
n080-set04	1.000000	0.150000	4283.750000000	8567.500000000	31917.000000000	outsourcing-data/n080-set04/rate-1-discount-default.dat
n080-set04	2.000000	0.150000	4283.750000000	8567.500000000	31917.000000000	outsourcing-data/n080-set04/rate-2-discount-default.dat
n080-set04	1.000000	0.000000	4283.750000000	8567.500000000	31917.000000000	outsourcing-data/n080-set04/rate-1-discount-none.dat
n080-set05	0.500000	0.150000	4283.750000000	8567.500000000	30779.000000000	outsourcing-data/n080-set05/rate-0.5-discount-default.dat
n080-set05	1.000000	0.150000	4283.750000000	8567.500000000	30779.000000000	outsourcing-data/n080-set05/rate-1-discount-default.dat
n080-set05	2.000000	0.150000	4283.750000000	8567.500000000	30779.000000000	outsourcing-data/n080-set05/rate-2-discount-default.dat
n080-set05	1.000000	0.000000	4283.750000000	8567.500000000	30779.000000000	outsourcing-data/n080-set05/rate-1-discount-none.dat
n100-set01	0.500000	0.150000	4283.750000000	8567.500000000	42453.000000000	outsourcing-data/n100-set01/rate-0.5-discount-default.dat
n100-set01	1.000000	0.150000	4283.750000000	8567.500000000	42453.000000000	outsourcing-data/n100-set01/rate-1-discount-default.dat
n100-set01	2.000000	0.150000	4283.750000000	8567.500000000	42453.000000000	outsourcing-data/n100-set01/rate-2-discount-default.dat
n100-set01	1.000000	0.000000	4283.750000000	8567.500000000	42453.000000000	outsourcing-data/n100-set01/rate-1-discount-none.dat
n100-set02	0.500000	0.150000	4283.750000000	8567.500000000	39026.000000000	outsourcing-data/n100-set02/rate-0.5-discount-default.dat
n100-set02	1.000000	0.150000	4283.750000000	8567.500000000	39026.000000000	outsourcing-data/n100-set02/rate-1-discount-default.dat
n100-set02	2.000000	0.150000	4283.750000000	8567.500000000	39026.000000000	outsourcing-data/n100-set02/rate-2-discount-default.dat
n100-set02	1.000000	0.000000	4283.750000000	8567.500000000	39026.000000000	outsourcing-data/n100-set02/rate-1-discount-none.dat
n100-set03	0.500000	0.150000	4283.750000000	8567.500000000	36629.000000000	outsourcing-data/n100-set03/rate-0.5-discount-default.dat
n100-set03	1.000000	0.150000	4283.750000000	8567.500000000	36629.000000000	outsourcing-data/n100-set03/rate-1-discount-default.dat
n100-set03	2.000000	0.150000	4283.750000000	8567.500000000	36629.000000000	outsourcing-data/n100-set03/rate-2-discount-default.dat
n100-set03	1.000000	0.000000	4283.750000000	8567.500000000	36629.000000000	outsourcing-data/n100-set03/rate-1-discount-none.dat
n100-set04	0.500000	0.150000	4283.750000000	8567.500000000	39863.000000000	outsourcing-data/n100-set04/rate-0.5-discount-default.dat
n100-set04	1.000000	0.150000	4283.750000000	8567.500000000	39863.000000000	outsourcing-data/n100-set04/rate-1-discount-default.dat
n100-set04	2.000000	0.150000	4283.750000000	8567.500000000	39863.000000000	outsourcing-data/n100-set04/rate-2-discount-default.dat
n100-set04	1.000000	0.000000	4283.750000000	8567.500000000	39863.000000000	outsourcing-data/n100-set04/rate-1-discount-none.dat
n100-set05	0.500000	0.150000	4283.750000000	8567.500000000	40329.000000000	outsourcing-data/n100-set05/rate-0.5-discount-default.dat
n100-set05	1.000000	0.150000	4283.750000000	8567.500000000	40329.000000000	outsourcing-data/n100-set05/rate-1-discount-default.dat
n100-set05	2.000000	0.150000	4283.750000000	8567.500000000	40329.000000000	outsourcing-data/n100-set05/rate-2-discount-default.dat
n100-set05	1.000000	0.000000	4283.750000000	8567.500000000	40329.000000000	outsourcing-data/n100-set05/rate-1-discount-none.dat
