taskSetId	size	caseIndex	machines	setupType	scaleLevel	scale	instance	averageProcessing
n020-set02	20	2	4	family	medium	15	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set02/family/medium-g15/m4.dat	836.250000
n020-set02	20	2	2	family	high	25	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set02/family/high-g25/m2.dat	1393.750000
n020-set02	20	2	3	family	high	25	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set02/family/high-g25/m3.dat	1393.750000
n020-set02	20	2	4	family	high	25	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set02/family/high-g25/m4.dat	1393.750000
n020-set03	20	3	2	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set03/random/base-g1/m2.dat	50.050000
n020-set03	20	3	3	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set03/random/base-g1/m3.dat	50.050000
n020-set03	20	3	4	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set03/random/base-g1/m4.dat	50.050000
n020-set03	20	3	2	random	medium	5	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set03/random/medium-g5/m2.dat	250.250000
n020-set03	20	3	3	random	medium	5	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set03/random/medium-g5/m3.dat	250.250000
n020-set03	20	3	4	random	medium	5	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set03/random/medium-g5/m4.dat	250.250000
n020-set03	20	3	2	random	high	15	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set03/random/high-g15/m2.dat	750.750000
n020-set03	20	3	3	random	high	15	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set03/random/high-g15/m3.dat	750.750000
n020-set03	20	3	4	random	high	15	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set03/random/high-g15/m4.dat	750.750000
n020-set03	20	3	2	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set03/family/base-g1/m2.dat	50.050000
n020-set03	20	3	3	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set03/family/base-g1/m3.dat	50.050000
n020-set03	20	3	4	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set03/family/base-g1/m4.dat	50.050000
n020-set03	20	3	2	family	medium	5	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set03/family/medium-g5/m2.dat	250.250000
n020-set03	20	3	3	family	medium	5	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set03/family/medium-g5/m3.dat	250.250000
n020-set03	20	3	4	family	medium	5	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set03/family/medium-g5/m4.dat	250.250000
n020-set03	20	3	2	family	high	15	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set03/family/high-g15/m2.dat	750.750000
n020-set03	20	3	3	family	high	15	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set03/family/high-g15/m3.dat	750.750000
n020-set03	20	3	4	family	high	15	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set03/family/high-g15/m4.dat	750.750000
n020-set04	20	4	2	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set04/random/base-g1/m2.dat	41.250000
n020-set04	20	4	3	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set04/random/base-g1/m3.dat	41.250000
n020-set04	20	4	4	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set04/random/base-g1/m4.dat	41.250000
n020-set04	20	4	2	random	medium	10	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set04/random/medium-g10/m2.dat	412.500000
n020-set04	20	4	3	random	medium	10	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set04/random/medium-g10/m3.dat	412.500000
n020-set04	20	4	4	random	medium	10	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set04/random/medium-g10/m4.dat	412.500000
n020-set04	20	4	2	random	high	20	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set04/random/high-g20/m2.dat	825.000000
n020-set04	20	4	3	random	high	20	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set04/random/high-g20/m3.dat	825.000000
n020-set04	20	4	4	random	high	20	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set04/random/high-g20/m4.dat	825.000000
n020-set04	20	4	2	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set04/family/base-g1/m2.dat	41.250000
n020-set04	20	4	3	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set04/family/base-g1/m3.dat	41.250000
n020-set04	20	4	4	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set04/family/base-g1/m4.dat	41.250000
n020-set04	20	4	2	family	medium	10	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set04/family/medium-g10/m2.dat	412.500000
n020-set04	20	4	3	family	medium	10	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set04/family/medium-g10/m3.dat	412.500000
n020-set04	20	4	4	family	medium	10	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set04/family/medium-g10/m4.dat	412.500000
n020-set04	20	4	2	family	high	20	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set04/family/high-g20/m2.dat	825.000000
n020-set04	20	4	3	family	high	20	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set04/family/high-g20/m3.dat	825.000000
n020-set04	20	4	4	family	high	20	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set04/family/high-g20/m4.dat	825.000000
n020-set05	20	5	2	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set05/random/base-g1/m2.dat	53.150000
n020-set05	20	5	3	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set05/random/base-g1/m3.dat	53.150000
n020-set05	20	5	4	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set05/random/base-g1/m4.dat	53.150000
n020-set05	20	5	2	random	medium	9	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set05/random/medium-g9/m2.dat	478.350000
n020-set05	20	5	3	random	medium	9	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set05/random/medium-g9/m3.dat	478.350000
n020-set05	20	5	4	random	medium	9	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set05/random/medium-g9/m4.dat	478.350000
n020-set05	20	5	2	random	high	19	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set05/random/high-g19/m2.dat	1009.850000
n020-set05	20	5	3	random	high	19	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set05/random/high-g19/m3.dat	1009.850000
n020-set05	20	5	4	random	high	19	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set05/random/high-g19/m4.dat	1009.850000
n020-set05	20	5	2	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set05/family/base-g1/m2.dat	53.150000
n020-set05	20	5	3	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set05/family/base-g1/m3.dat	53.150000
n020-set05	20	5	4	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set05/family/base-g1/m4.dat	53.150000
n020-set05	20	5	2	family	medium	9	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set05/family/medium-g9/m2.dat	478.350000
n020-set05	20	5	3	family	medium	9	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set05/family/medium-g9/m3.dat	478.350000
n020-set05	20	5	4	family	medium	9	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set05/family/medium-g9/m4.dat	478.350000
n020-set05	20	5	2	family	high	19	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set05/family/high-g19/m2.dat	1009.850000
n020-set05	20	5	3	family	high	19	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set05/family/high-g19/m3.dat	1009.850000
n020-set05	20	5	4	family	high	19	${WORKSPACE}/experiment-suite/formal/instances/data/n020-set05/family/high-g19/m4.dat	1009.850000
n040-set01	40	1	2	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set01/random/base-g1/m2.dat	51.075000
n040-set01	40	1	3	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set01/random/base-g1/m3.dat	51.075000
n040-set01	40	1	4	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set01/random/base-g1/m4.dat	51.075000
n040-set01	40	1	2	random	medium	9	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set01/random/medium-g9/m2.dat	459.675000
n040-set01	40	1	3	random	medium	9	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set01/random/medium-g9/m3.dat	459.675000
n040-set01	40	1	4	random	medium	9	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set01/random/medium-g9/m4.dat	459.675000
n040-set01	40	1	2	random	high	19	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set01/random/high-g19/m2.dat	970.425000
n040-set01	40	1	3	random	high	19	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set01/random/high-g19/m3.dat	970.425000
n040-set01	40	1	4	random	high	19	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set01/random/high-g19/m4.dat	970.425000
n040-set01	40	1	2	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set01/family/base-g1/m2.dat	51.075000
n040-set01	40	1	3	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set01/family/base-g1/m3.dat	51.075000
n040-set01	40	1	4	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set01/family/base-g1/m4.dat	51.075000
n040-set01	40	1	2	family	medium	9	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set01/family/medium-g9/m2.dat	459.675000
n040-set01	40	1	3	family	medium	9	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set01/family/medium-g9/m3.dat	459.675000
n040-set01	40	1	4	family	medium	9	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set01/family/medium-g9/m4.dat	459.675000
n040-set01	40	1	2	family	high	19	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set01/family/high-g19/m2.dat	970.425000
n040-set01	40	1	3	family	high	19	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set01/family/high-g19/m3.dat	970.425000
n040-set01	40	1	4	family	high	19	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set01/family/high-g19/m4.dat	970.425000
n040-set02	40	2	2	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set02/random/base-g1/m2.dat	55.000000
n040-set02	40	2	3	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set02/random/base-g1/m3.dat	55.000000
n040-set02	40	2	4	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set02/random/base-g1/m4.dat	55.000000
n040-set02	40	2	2	random	medium	8	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set02/random/medium-g8/m2.dat	440.000000
n040-set02	40	2	3	random	medium	8	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set02/random/medium-g8/m3.dat	440.000000
n040-set02	40	2	4	random	medium	8	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set02/random/medium-g8/m4.dat	440.000000
n040-set02	40	2	2	random	high	18	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set02/random/high-g18/m2.dat	990.000000
n040-set02	40	2	3	random	high	18	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set02/random/high-g18/m3.dat	990.000000
n040-set02	40	2	4	random	high	18	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set02/random/high-g18/m4.dat	990.000000
n040-set02	40	2	2	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set02/family/base-g1/m2.dat	55.000000
n040-set02	40	2	3	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set02/family/base-g1/m3.dat	55.000000
n040-set02	40	2	4	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set02/family/base-g1/m4.dat	55.000000
n040-set02	40	2	2	family	medium	8	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set02/family/medium-g8/m2.dat	440.000000
n040-set02	40	2	3	family	medium	8	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set02/family/medium-g8/m3.dat	440.000000
n040-set02	40	2	4	family	medium	8	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set02/family/medium-g8/m4.dat	440.000000
n040-set02	40	2	2	family	high	18	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set02/family/high-g18/m2.dat	990.000000
n040-set02	40	2	3	family	high	18	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set02/family/high-g18/m3.dat	990.000000
n040-set02	40	2	4	family	high	18	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set02/family/high-g18/m4.dat	990.000000
n040-set03	40	3	2	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set03/random/base-g1/m2.dat	51.525000
n040-set03	40	3	3	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set03/random/base-g1/m3.dat	51.525000
n040-set03	40	3	4	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set03/random/base-g1/m4.dat	51.525000
n040-set03	40	3	2	random	medium	6	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set03/random/medium-g6/m2.dat	309.150000
n040-set03	40	3	3	random	medium	6	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set03/random/medium-g6/m3.dat	309.150000
n040-set03	40	3	4	random	medium	6	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set03/random/medium-g6/m4.dat	309.150000
n040-set03	40	3	2	random	high	16	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set03/random/high-g16/m2.dat	824.400000
n040-set03	40	3	3	random	high	16	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set03/random/high-g16/m3.dat	824.400000
n040-set03	40	3	4	random	high	16	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set03/random/high-g16/m4.dat	824.400000
n040-set03	40	3	2	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set03/family/base-g1/m2.dat	51.525000
n040-set03	40	3	3	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set03/family/base-g1/m3.dat	51.525000
n040-set03	40	3	4	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set03/family/base-g1/m4.dat	51.525000
n040-set03	40	3	2	family	medium	6	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set03/family/medium-g6/m2.dat	309.150000
n040-set03	40	3	3	family	medium	6	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set03/family/medium-g6/m3.dat	309.150000
n040-set03	40	3	4	family	medium	6	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set03/family/medium-g6/m4.dat	309.150000
n040-set03	40	3	2	family	high	16	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set03/family/high-g16/m2.dat	824.400000
n040-set03	40	3	3	family	high	16	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set03/family/high-g16/m3.dat	824.400000
n040-set03	40	3	4	family	high	16	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set03/family/high-g16/m4.dat	824.400000
n040-set04	40	4	2	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set04/random/base-g1/m2.dat	44.800000
n040-set04	40	4	3	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set04/random/base-g1/m3.dat	44.800000
n040-set04	40	4	4	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set04/random/base-g1/m4.dat	44.800000
n040-set04	40	4	2	random	medium	12	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set04/random/medium-g12/m2.dat	537.600000
n040-set04	40	4	3	random	medium	12	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set04/random/medium-g12/m3.dat	537.600000
n040-set04	40	4	4	random	medium	12	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set04/random/medium-g12/m4.dat	537.600000
n040-set04	40	4	2	random	high	22	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set04/random/high-g22/m2.dat	985.600000
n040-set04	40	4	3	random	high	22	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set04/random/high-g22/m3.dat	985.600000
n040-set04	40	4	4	random	high	22	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set04/random/high-g22/m4.dat	985.600000
n040-set04	40	4	2	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set04/family/base-g1/m2.dat	44.800000
n040-set04	40	4	3	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set04/family/base-g1/m3.dat	44.800000
n040-set04	40	4	4	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set04/family/base-g1/m4.dat	44.800000
n040-set04	40	4	2	family	medium	12	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set04/family/medium-g12/m2.dat	537.600000
n040-set04	40	4	3	family	medium	12	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set04/family/medium-g12/m3.dat	537.600000
n040-set04	40	4	4	family	medium	12	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set04/family/medium-g12/m4.dat	537.600000
n040-set04	40	4	2	family	high	22	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set04/family/high-g22/m2.dat	985.600000
n040-set04	40	4	3	family	high	22	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set04/family/high-g22/m3.dat	985.600000
n040-set04	40	4	4	family	high	22	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set04/family/high-g22/m4.dat	985.600000
n040-set05	40	5	2	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set05/random/base-g1/m2.dat	48.775000
n040-set05	40	5	3	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set05/random/base-g1/m3.dat	48.775000
n040-set05	40	5	4	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set05/random/base-g1/m4.dat	48.775000
n040-set05	40	5	2	random	medium	5	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set05/random/medium-g5/m2.dat	243.875000
n040-set05	40	5	3	random	medium	5	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set05/random/medium-g5/m3.dat	243.875000
n040-set05	40	5	4	random	medium	5	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set05/random/medium-g5/m4.dat	243.875000
n040-set05	40	5	2	random	high	15	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set05/random/high-g15/m2.dat	731.625000
n040-set05	40	5	3	random	high	15	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set05/random/high-g15/m3.dat	731.625000
n040-set05	40	5	4	random	high	15	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set05/random/high-g15/m4.dat	731.625000
n040-set05	40	5	2	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set05/family/base-g1/m2.dat	48.775000
n040-set05	40	5	3	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set05/family/base-g1/m3.dat	48.775000
n040-set05	40	5	4	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set05/family/base-g1/m4.dat	48.775000
n040-set05	40	5	2	family	medium	5	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set05/family/medium-g5/m2.dat	243.875000
n040-set05	40	5	3	family	medium	5	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set05/family/medium-g5/m3.dat	243.875000
n040-set05	40	5	4	family	medium	5	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set05/family/medium-g5/m4.dat	243.875000
n040-set05	40	5	2	family	high	15	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set05/family/high-g15/m2.dat	731.625000
n040-set05	40	5	3	family	high	15	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set05/family/high-g15/m3.dat	731.625000
n040-set05	40	5	4	family	high	15	${WORKSPACE}/experiment-suite/formal/instances/data/n040-set05/family/high-g15/m4.dat	731.625000
n050-set01	50	1	2	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set01/random/base-g1/m2.dat	52.200000
n050-set01	50	1	3	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set01/random/base-g1/m3.dat	52.200000
n050-set01	50	1	4	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set01/random/base-g1/m4.dat	52.200000
n050-set01	50	1	2	random	medium	13	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set01/random/medium-g13/m2.dat	678.600000
n050-set01	50	1	3	random	medium	13	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set01/random/medium-g13/m3.dat	678.600000
n050-set01	50	1	4	random	medium	13	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set01/random/medium-g13/m4.dat	678.600000
n050-set01	50	1	2	random	high	23	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set01/random/high-g23/m2.dat	1200.600000
n050-set01	50	1	3	random	high	23	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set01/random/high-g23/m3.dat	1200.600000
n050-set01	50	1	4	random	high	23	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set01/random/high-g23/m4.dat	1200.600000
n050-set01	50	1	2	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set01/family/base-g1/m2.dat	52.200000
n050-set01	50	1	3	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set01/family/base-g1/m3.dat	52.200000
n050-set01	50	1	4	family	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set01/family/base-g1/m4.dat	52.200000
n050-set01	50	1	2	family	medium	13	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set01/family/medium-g13/m2.dat	678.600000
n050-set01	50	1	3	family	medium	13	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set01/family/medium-g13/m3.dat	678.600000
n050-set01	50	1	4	family	medium	13	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set01/family/medium-g13/m4.dat	678.600000
n050-set01	50	1	2	family	high	23	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set01/family/high-g23/m2.dat	1200.600000
n050-set01	50	1	3	family	high	23	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set01/family/high-g23/m3.dat	1200.600000
n050-set01	50	1	4	family	high	23	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set01/family/high-g23/m4.dat	1200.600000
n050-set02	50	2	2	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set02/random/base-g1/m2.dat	53.740000
n050-set02	50	2	3	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set02/random/base-g1/m3.dat	53.740000
n050-set02	50	2	4	random	base	1	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set02/random/base-g1/m4.dat	53.740000
n050-set02	50	2	2	random	medium	11	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set02/random/medium-g11/m2.dat	591.140000
n050-set02	50	2	3	random	medium	11	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set02/random/medium-g11/m3.dat	591.140000
n050-set02	50	2	4	random	medium	11	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set02/random/medium-g11/m4.dat	591.140000
n050-set02	50	2	2	random	high	21	${WORKSPACE}/experiment-suite/formal/instances/data/n050-set02/random/high-g21/m2.dat	1128.540000
