taskSetId	setupType	scaleLevel	nominalMultiplier	targetMean	actualMean	meanError	cap	maximum	capHitRate	triangleViolations	floydChangedArcs	withinMean	betweenMean	rawMean	closedMean	firstFloydChangedArcs	calibrationScale	withinPairRatio	randomLocation	baseFamilySwitchPenalty	familySeparationRatio	familyByJob	workloadScale
n050-set04	family	medium	10	210.850000000	211.387755102	0.537755102	421	341	0.000000000	0	0	60.899234694	282.205882353	80.724000000	80.724000000	0	0.262695312500	0.320000000	21.760784754	86.800000000	4.668857847	0,1,1,1,2,1,0,0,2,0,2,1,1,2,0,2,2,0,1,2,0,1,1,0,2,0,0,0,0,0,1,1,1,1,2,2,2,2,2,1,2,0,0,1,2,0,2,1,0,1	9.716589861751
n050-set04	family	high	20	428.390000000	428.853877551	0.463877551	856	691	0.000000000	0	0	122.996173469	572.786914766	80.724000000	80.724000000	0	0.262695312500	0.320000000	21.760784754	86.800000000	4.668857847	0,1,1,1,2,1,0,0,2,0,2,1,1,2,0,2,2,0,1,2,0,1,1,0,2,0,0,0,0,0,1,1,1,1,2,2,2,2,2,1,2,0,0,1,2,0,2,1,0,1	19.741474654378
n050-set05	family	base	1	22.550000000	22.552244898	0.002244898	45	36	0.000000000	0	0	6.354591837	30.174669868	83.885795918	83.885795918	0	0.262756347656	0.320000000	22.564757012	90.200000000	4.748482773	1,0,2,1,2,0,2,0,2,2,0,0,1,2,0,2,1,1,2,1,1,0,0,0,2,0,0,1,1,0,2,2,1,1,2,0,1,0,2,2,1,1,2,2,1,1,1,0,0,0	1.000000000000
n050-set05	family	medium	10	210.650000000	211.132653061	0.482653061	421	337	0.000000000	0	0	59.943877551	282.280312125	83.885795918	83.885795918	0	0.262756347656	0.320000000	22.564757012	90.200000000	4.748482773	1,0,2,1,2,0,2,0,2,2,0,0,1,2,0,2,1,1,2,1,1,0,0,0,2,0,0,1,1,0,2,2,1,1,2,0,1,0,2,2,1,1,2,2,1,1,1,0,0,0	9.341463414634
n050-set05	family	high	20	447.940000000	448.488979592	0.548979592	895	716	0.000000000	0	0	126.778061224	599.882352941	83.885795918	83.885795918	0	0.262756347656	0.320000000	22.564757012	90.200000000	4.748482773	1,0,2,1,2,0,2,0,2,2,0,0,1,2,0,2,1,1,2,1,1,0,0,0,2,0,0,1,1,0,2,2,1,1,2,0,1,0,2,2,1,1,2,2,1,1,1,0,0,0	19.864301552106
n060-set01	family	base	1	27.366666667	27.361299435	-0.005367232	54	44	0.000000000	0	0	7.782456140	36.661250000	101.581355932	101.581355932	0	0.264404296875	0.322033898	27.480084443	109.466666667	4.710755748	1,2,0,0,2,1,0,0,2,0,0,0,1,1,1,1,1,2,2,1,1,0,2,0,0,2,2,0,2,0,2,2,2,2,1,2,2,1,0,1,1,2,2,0,0,1,0,1,1,0,2,1,0,2,2,1,1,1,0,0	1.000000000000
n060-set01	family	medium	10	256.216666667	256.684180791	0.467514124	512	412	0.000000000	0	0	73.311403509	343.786250000	101.581355932	101.581355932	0	0.264404296875	0.322033898	27.480084443	109.466666667	4.710755748	1,2,0,0,2,1,0,0,2,0,0,0,1,1,1,1,1,2,2,1,1,0,2,0,0,2,2,0,2,0,2,2,2,2,1,2,2,1,0,1,1,2,2,0,0,1,0,1,1,0,2,1,0,2,2,1,1,1,0,0	9.362362971985
n060-set01	family	high	20	582.408333333	582.769774011	0.361440678	1164	937	0.000000000	0	0	166.080701754	780.697083333	101.581355932	101.581355932	0	0.264404296875	0.322033898	27.480084443	109.466666667	4.710755748	1,2,0,0,2,1,0,0,2,0,0,0,1,1,1,1,1,2,2,1,1,0,2,0,0,2,2,0,2,0,2,2,2,2,1,2,2,1,0,1,1,2,2,0,0,1,0,1,1,0,2,1,0,2,2,1,1,1,0,0	21.281668696711
n060-set02	family	base	1	25.875000000	25.892655367	0.017655367	51	41	0.000000000	0	0	7.360526316	34.695416667	96.044350282	96.044350282	0	0.264160156250	0.322033898	25.991532290	103.500000000	4.713714098	2,1,0,0,2,2,0,2,0,2,0,1,2,1,0,0,1,1,2,2,2,0,1,0,0,0,2,1,0,1,1,2,0,0,0,0,1,2,2,2,1,1,1,1,1,2,2,1,2,1,0,0,0,2,1,0,1,2,2,1	1.000000000000
n060-set02	family	medium	10	243.558333333	244.240112994	0.681779661	487	386	0.000000000	0	0	69.765789474	327.115416667	96.044350282	96.044350282	0	0.264160156250	0.322033898	25.991532290	103.500000000	4.713714098	2,1,0,0,2,2,0,2,0,2,0,1,2,1,0,0,1,1,2,2,2,0,1,0,0,0,2,1,0,1,1,2,0,0,0,0,1,2,2,2,1,1,1,1,1,2,2,1,2,1,0,0,0,2,1,0,1,2,2,1	9.412882447665
n060-set02	family	high	20	516.083333333	517.019209040	0.935875706	1032	818	0.000000000	0	0	147.210526316	692.678333333	96.044350282	96.044350282	0	0.264160156250	0.322033898	25.991532290	103.500000000	4.713714098	2,1,0,0,2,2,0,2,0,2,0,1,2,1,0,0,1,1,2,2,2,0,1,0,0,0,2,1,0,1,1,2,0,0,0,0,1,2,2,2,1,1,1,1,1,2,2,1,2,1,0,0,0,2,1,0,1,2,2,1	19.945249597424
n060-set03	family	base	1	25.733333333	25.742655367	0.009322034	51	41	0.000000000	0	0	7.270175439	34.517083333	95.518644068	95.518644068	0	0.264160156250	0.322033898	25.804204425	102.933333333	4.747764841	0,0,2,1,0,0,0,2,0,2,0,0,1,2,0,1,2,1,1,1,2,2,0,0,1,0,1,0,2,1,0,2,2,2,1,1,1,2,1,0,2,2,1,0,2,2,2,1,2,1,0,1,1,0,1,2,0,2,1,0	1.000000000000
n060-set03	family	medium	10	259.583333333	260.143220339	0.559887006	519	414	0.000000000	0	0	73.738596491	348.685416667	95.518644068	95.518644068	0	0.264160156250	0.322033898	25.804204425	102.933333333	4.747764841	0,0,2,1,0,0,0,2,0,2,0,0,1,2,0,1,2,1,1,1,2,2,0,0,1,0,1,0,2,1,0,2,2,2,1,1,1,2,1,0,2,2,1,0,2,2,2,1,2,1,0,1,1,0,1,2,0,2,1,0	10.087435233161
n060-set03	family	high	20	506.033333333	506.606497175	0.573163842	1012	807	0.000000000	0	0	143.311403509	679.171666667	95.518644068	95.518644068	0	0.264160156250	0.322033898	25.804204425	102.933333333	4.747764841	0,0,2,1,0,0,0,2,0,2,0,0,1,2,0,1,2,1,1,1,2,2,0,0,1,0,1,0,2,1,0,2,2,2,1,1,1,2,1,0,2,2,1,0,2,2,2,1,2,1,0,1,1,0,1,2,0,2,1,0	19.664507772021
n060-set04	family	base	1	26.791666667	26.793220339	0.001553672	53	43	0.000000000	0	0	7.648245614	35.887083333	99.447175141	99.447175141	0	0.264404296875	0.322033898	26.880935765	107.166666667	4.692198073	0,0,0,0,1,1,1,2,1,2,1,2,2,2,2,1,1,0,2,0,0,0,1,0,1,0,2,2,2,0,2,2,1,0,0,1,0,0,2,1,2,0,0,1,2,1,0,0,1,1,1,2,2,2,1,1,1,0,2,2	1.000000000000
n060-set04	family	medium	10	262.333333333	262.836723164	0.503389831	524	422	0.000000000	0	0	75.364035088	351.886250000	99.447175141	99.447175141	0	0.264404296875	0.322033898	26.880935765	107.166666667	4.692198073	0,0,0,0,1,1,1,2,1,2,1,2,2,2,2,1,1,0,2,0,0,0,1,0,1,0,2,2,2,0,2,2,1,0,0,1,0,0,2,1,2,0,0,1,2,1,0,0,1,1,1,2,2,2,1,1,1,0,2,2	9.791601866252
n060-set04	family	high	20	554.150000000	554.633333333	0.483333333	1108	890	0.000000000	0	0	158.726315789	742.689166667	99.447175141	99.447175141	0	0.264404296875	0.322033898	26.880935765	107.166666667	4.692198073	0,0,0,0,1,1,1,2,1,2,1,2,2,2,2,1,1,0,2,0,0,0,1,0,1,0,2,2,2,0,2,2,1,0,0,1,0,0,2,1,2,0,0,1,2,1,0,0,1,1,1,2,2,2,1,1,1,0,2,2	20.683670295490
n060-set05	family	base	1	27.975000000	27.974293785	-0.000706215	55	45	0.000000000	0	0	7.899122807	37.510000000	103.839548023	103.839548023	0	0.264686584473	0.322033898	28.124166624	111.900000000	4.748628540	1,1,2,0,2,1,0,0,2,2,1,2,1,0,1,0,2,0,0,0,2,0,2,0,1,0,2,1,0,0,0,0,1,1,2,0,2,0,0,1,1,0,2,2,2,1,1,2,1,2,1,1,2,0,2,2,2,1,1,1	1.000000000000
n060-set05	family	medium	10	257.283333333	257.772033898	0.488700565	514	414	0.000000000	0	0	73.107017544	345.487916667	103.839548023	103.839548023	0	0.264686584473	0.322033898	28.124166624	111.900000000	4.748628540	1,1,2,0,2,1,0,0,2,2,1,2,1,0,1,0,2,0,0,0,2,0,2,0,1,0,2,1,0,0,0,0,1,1,2,0,2,0,0,1,1,0,2,2,2,1,1,2,1,2,1,1,2,0,2,2,2,1,1,1	9.196901995830
n060-set05	family	high	20	562.208333333	562.606779661	0.398446328	1124	905	0.000000000	0	0	159.166666667	754.240833333	103.839548023	103.839548023	0	0.264686584473	0.322033898	28.124166624	111.900000000	4.748628540	1,1,2,0,2,1,0,0,2,2,1,2,1,0,1,0,2,0,0,0,2,0,2,0,1,0,2,1,0,0,0,0,1,1,2,0,2,0,0,1,1,0,2,2,2,1,1,2,1,2,1,1,2,0,2,2,2,1,1,1	20.096812630325
n080-set01	family	base	1	27.737500000	27.731962025	-0.005537975	55	41	0.000000000	0	0	7.261842105	34.214166667	112.003322785	112.003322785	0	0.243041992188	0.240506329	27.809483795	110.950000000	4.711499668	3,1,0,2,3,2,3,2,1,1,2,2,3,1,3,2,1,3,0,0,3,2,3,1,3,2,0,2,0,2,2,1,1,1,0,3,0,3,1,3,0,1,2,2,0,3,0,2,2,3,2,1,1,1,1,3,0,0,0,2,2,0,0,1,0,0,2,2,0,3,0,1,0,1,3,3,3,1,3,1	1.000000000000
n080-set01	family	medium	10	277.056250000	277.319620253	0.263370253	554	410	0.000000000	0	0	72.618421053	342.141666667	112.003322785	112.003322785	0	0.243041992188	0.240506329	27.809483795	110.950000000	4.711499668	3,1,0,2,3,2,3,2,1,1,2,2,3,1,3,2,1,3,0,0,3,2,3,1,3,2,0,2,0,2,2,1,1,1,0,3,0,3,1,3,0,1,2,2,0,3,0,2,2,3,2,1,1,1,1,3,0,0,0,2,2,0,0,1,0,0,2,2,0,3,0,1,0,1,3,3,3,1,3,1	9.988508337089
n080-set01	family	high	20	540.131250000	540.594462025	0.463212025	1080	799	0.000000000	0	0	141.861184211	666.860000000	112.003322785	112.003322785	0	0.243041992188	0.240506329	27.809483795	110.950000000	4.711499668	3,1,0,2,3,2,3,2,1,1,2,2,3,1,3,2,1,3,0,0,3,2,3,1,3,2,0,2,0,2,2,1,1,1,0,3,0,3,1,3,0,1,2,2,0,3,0,2,2,3,2,1,1,1,1,3,0,0,0,2,2,0,0,1,0,0,2,2,0,3,0,1,0,1,3,3,3,1,3,1	19.472960793150
n080-set02	family	base	1	26.318750000	26.315031646	-0.003718354	52	39	0.000000000	0	0	6.951315789	32.446875000	106.274525316	106.274525316	0	0.243041992188	0.240506329	26.416812701	105.275000000	4.667731403	1,0,2,1,3,1,0,1,1,2,3,1,0,2,2,3,3,0,2,0,3,0,2,1,3,0,2,1,0,1,1,2,0,3,3,1,2,1,0,3,0,3,3,3,0,2,2,3,1,1,2,0,3,3,1,0,1,2,0,3,1,2,0,0,3,0,3,3,1,0,1,2,2,3,2,0,2,2,1,2	1.000000000000
n080-set02	family	medium	10	279.181250000	279.686708861	0.505458861	558	414	0.000000000	0	0	74.268421053	344.735833333	106.274525316	106.274525316	0	0.243041992188	0.240506329	26.416812701	105.275000000	4.667731403	1,0,2,1,3,1,0,1,1,2,3,1,0,2,2,3,3,0,2,0,3,0,2,1,3,0,2,1,0,1,1,2,0,3,3,1,2,1,0,3,0,3,3,3,0,2,2,3,1,1,2,0,3,3,1,0,1,2,0,3,1,2,0,0,3,0,3,3,1,0,1,2,2,3,2,0,2,2,1,2	10.607694134410
n080-set02	family	high	20	520.968750000	521.454113924	0.485363924	1041	772	0.000000000	0	0	138.052631579	642.864583333	106.274525316	106.274525316	0	0.243041992188	0.240506329	26.416812701	105.275000000	4.667731403	1,0,2,1,3,1,0,1,1,2,3,1,0,2,2,3,3,0,2,0,3,0,2,1,3,0,2,1,0,1,1,2,0,3,3,1,2,1,0,3,0,3,3,3,0,2,2,3,1,1,2,0,3,3,1,0,1,2,0,3,1,2,0,0,3,0,3,3,1,0,1,2,2,3,2,0,2,2,1,2	19.794585609119
n080-set03	family	base	1	26.650000000	26.648575949	-0.001424051	53	39	0.000000000	0	0	7.055921053	32.852916667	107.612025316	107.612025316	0	0.243041992188	0.240506329	26.694907360	106.600000000	4.656077700	2,3,3,2,0,1,0,1,2,3,1,1,0,3,3,3,2,0,1,0,3,0,0,0,1,1,2,2,2,3,2,2,1,2,1,3,0,0,1,2,1,0,3,3,0,3,3,2,2,2,2,3,1,3,2,3,3,3,0,0,1,1,2,1,2,0,1,2,0,0,2,0,1,3,0,1,0,1,1,3	1.000000000000
n080-set03	family	medium	10	259.887500000	260.460284810	0.572784810	519	381	0.000000000	0	0	69.417105263	320.957291667	107.612025316	107.612025316	0	0.243041992188	0.240506329	26.694907360	106.600000000	4.656077700	2,3,3,2,0,1,0,1,2,3,1,1,0,3,3,3,2,0,1,0,3,0,0,0,1,1,2,2,2,3,2,2,1,2,1,3,0,0,1,2,1,0,3,3,0,3,3,2,2,2,2,3,1,3,2,3,3,3,0,0,1,1,2,1,2,0,1,2,0,0,2,0,1,3,0,1,0,1,1,3	9.751876172608
n080-set03	family	high	20	531.162500000	531.500632911	0.338132911	1062	778	0.000000000	0	0	141.118421053	655.121666667	107.612025316	107.612025316	0	0.243041992188	0.240506329	26.694907360	106.600000000	4.656077700	2,3,3,2,0,1,0,1,2,3,1,1,0,3,3,3,2,0,1,0,3,0,0,0,1,1,2,2,2,3,2,2,1,2,1,3,0,0,1,2,1,0,3,3,0,3,3,2,2,2,2,3,1,3,2,3,3,3,0,0,1,1,2,1,2,0,1,2,0,0,2,0,1,3,0,1,0,1,1,3	19.931050656660
n080-set04	family	base	1	25.612500000	25.609018987	-0.003481013	51	38	0.000000000	0	0	6.755921053	31.579166667	103.422626582	103.422626582	0	0.242919921875	0.240506329	25.646006634	102.450000000	4.674294803	1,3,0,2,0,2,1,3,1,0,1,1,3,1,2,1,3,3,2,3,2,2,0,1,3,2,3,3,2,3,2,0,2,0,3,0,0,1,0,0,0,1,2,0,0,0,3,1,2,2,1,0,3,1,3,2,0,1,3,2,1,2,2,2,3,1,1,0,1,3,3,0,3,1,2,0,2,1,0,3	1.000000000000
n080-set04	family	medium	10	254.481250000	254.939398734	0.458148734	508	378	0.000000000	0	0	67.559210526	314.276458333	103.422626582	103.422626582	0	0.242919921875	0.240506329	25.646006634	102.450000000	4.674294803	1,3,0,2,0,2,1,3,1,0,1,1,3,1,2,1,3,3,2,3,2,2,0,1,3,2,3,3,2,3,2,0,2,0,3,0,0,1,0,0,0,1,2,0,0,0,3,1,2,2,1,0,3,1,3,2,0,1,3,2,1,2,2,2,3,1,1,0,1,3,3,0,3,1,2,0,2,1,0,3	9.935822352367
n080-set04	family	high	20	512.818750000	513.180379747	0.361629747	1025	761	0.000000000	0	0	136.118421053	632.583333333	103.422626582	103.422626582	0	0.242919921875	0.240506329	25.646006634	102.450000000	4.674294803	1,3,0,2,0,2,1,3,1,0,1,1,3,1,2,1,3,3,2,3,2,2,0,1,3,2,3,3,2,3,2,0,2,0,3,0,0,1,0,0,0,1,2,0,0,0,3,1,2,2,1,0,3,1,3,2,0,1,3,2,1,2,2,2,3,1,1,0,1,3,3,0,3,1,2,0,2,1,0,3	20.022205954124
n080-set05	family	base	1	26.250000000	26.253639241	0.003639241	52	39	0.000000000	0	0	6.893421053	32.384375000	105.996835443	105.996835443	0	0.242675781250	0.240506329	26.326079111	105.000000000	4.697866959	3,1,0,0,2,2,0,0,1,2,1,1,0,1,3,1,3,2,0,2,2,2,3,3,1,0,2,0,0,3,2,2,3,3,1,3,0,0,1,1,2,3,2,0,3,0,3,1,2,1,1,0,1,0,0,2,1,1,3,3,3,0,2,2,0,1,2,2,0,2,3,3,3,1,1,3,1,0,2,3	1.000000000000
n080-set05	family	medium	10	252.650000000	253.105537975	0.455537975	505	376	0.000000000	0	0	66.771052632	312.111458333	105.996835443	105.996835443	0	0.242675781250	0.240506329	26.326079111	105.000000000	4.697866959	3,1,0,0,2,2,0,0,1,2,1,1,0,1,3,1,3,2,0,2,2,2,3,3,1,0,2,0,0,3,2,2,3,3,1,3,0,0,1,1,2,3,2,0,3,0,3,1,2,1,1,0,1,0,0,2,1,1,3,3,3,0,2,2,0,1,2,2,0,2,3,3,3,1,1,3,1,0,2,3	9.624761904762
n080-set05	family	high	20	516.806250000	517.457278481	0.651028481	1033	768	0.000000000	0	0	136.239473684	638.176250000	105.996835443	105.996835443	0	0.242675781250	0.240506329	26.326079111	105.000000000	4.697866959	3,1,0,0,2,2,0,0,1,2,1,1,0,1,3,1,3,2,0,2,2,2,3,3,1,0,2,0,0,3,2,2,3,3,1,3,0,0,1,1,2,3,2,0,3,0,3,1,2,1,1,0,1,0,0,2,1,1,3,3,3,0,2,2,0,1,2,2,0,2,3,3,3,1,1,3,1,0,2,3	19.687857142857
n100-set01	family	base	1	27.600000000	27.595757576	-0.004242424	55	41	0.000000000	0	0	7.217500000	34.116800000	111.236363636	111.236363636	0	0.243652343750	0.242424242	27.629687979	110.400000000	4.726955317	3,0,2,0,1,2,3,0,2,1,0,1,0,1,3,3,3,3,0,3,0,3,3,1,1,1,2,0,3,2,1,0,3,0,0,0,2,1,0,2,1,1,2,1,3,3,0,1,3,2,3,2,2,2,0,2,0,2,1,1,2,3,1,3,0,2,2,2,0,2,2,1,3,1,1,1,0,3,3,0,3,0,1,3,1,0,2,1,0,1,3,2,0,3,3,2,0,2,1,2	1.000000000000
n100-set01	family	medium	10	277.515000000	277.819898990	0.304898990	555	413	0.000000000	0	0	73.175000000	343.306266667	111.236363636	111.236363636	0	0.243652343750	0.242424242	27.629687979	110.400000000	4.726955317	3,0,2,0,1,2,3,0,2,1,0,1,0,1,3,3,3,3,0,3,0,3,3,1,1,1,2,0,3,2,1,0,3,0,0,0,2,1,0,2,1,1,2,1,3,3,0,1,3,2,3,2,2,2,0,2,0,2,1,1,2,3,1,3,0,2,2,2,0,2,2,1,3,1,1,1,0,3,3,0,3,0,1,3,1,0,2,1,0,1,3,2,0,3,3,2,0,2,1,2	10.054891304348
n100-set01	family	high	20	550.405000000	550.836767677	0.431767677	1100	818	0.000000000	0	0	144.350000000	680.912533333	111.236363636	111.236363636	0	0.243652343750	0.242424242	27.629687979	110.400000000	4.726955317	3,0,2,0,1,2,3,0,2,1,0,1,0,1,3,3,3,3,0,3,0,3,3,1,1,1,2,0,3,2,1,0,3,0,0,0,2,1,0,2,1,1,2,1,3,3,0,1,3,2,3,2,2,2,0,2,0,2,1,1,2,3,1,3,0,2,2,2,0,2,2,1,3,1,1,1,0,3,3,0,3,0,1,3,1,0,2,1,0,1,3,2,0,3,3,2,0,2,1,2	19.942210144928
n100-set02	family	base	1	26.210000000	26.215959596	0.005959596	52	39	0.000000000	0	0	6.919166667	32.390933333	105.634242424	105.634242424	0	0.243164062500	0.242424242	26.273501951	104.840000000	4.681334457	2,3,1,0,2,1,0,1,0,0,3,0,1,2,1,2,2,2,0,0,2,3,0,2,1,1,2,3,2,1,0,0,2,3,3,1,1,2,1,0,2,3,3,0,2,0,1,2,1,1,3,2,2,3,3,0,3,1,1,1,2,3,2,1,0,1,1,0,3,1,1,3,3,0,2,2,0,1,2,1,0,0,0,2,3,2,2,0,3,3,3,0,3,3,3,3,3,0,1,0	1.000000000000
n100-set02	family	medium	10	248.865000000	249.308585859	0.443585859	497	371	0.000000000	0	0	65.995416667	307.968800000	105.634242424	105.634242424	0	0.243164062500	0.242424242	26.273501951	104.840000000	4.681334457	2,3,1,0,2,1,0,1,0,0,3,0,1,2,1,2,2,2,0,0,2,3,0,2,1,1,2,3,2,1,0,0,2,3,3,1,1,2,1,0,2,3,3,0,2,0,1,2,1,1,3,2,2,3,3,0,3,1,1,1,2,3,2,1,0,1,1,0,3,1,1,3,3,0,2,2,0,1,2,1,0,0,0,2,3,2,2,0,3,3,3,0,3,3,3,3,3,0,1,0	9.495040061045
n100-set02	family	high	20	533.035000000	533.720202020	0.685202020	1066	794	0.000000000	0	0	141.367083333	659.273200000	105.634242424	105.634242424	0	0.243164062500	0.242424242	26.273501951	104.840000000	4.681334457	2,3,1,0,2,1,0,1,0,0,3,0,1,2,1,2,2,2,0,0,2,3,0,2,1,1,2,3,2,1,0,0,2,3,3,1,1,2,1,0,2,3,3,0,2,0,1,2,1,1,3,2,2,3,3,0,3,1,1,1,2,3,2,1,0,1,1,0,3,1,1,3,3,0,2,2,0,1,2,1,0,0,0,2,3,2,2,0,3,3,3,0,3,3,3,3,3,0,1,0	20.337085082030
n100-set03	family	base	1	26.410000000	26.397979798	-0.012020202	52	39	0.000000000	0	0	6.932500000	32.626933333	106.440303030	106.440303030	0	0.243286132813	0.242424242	26.537964887	105.640000000	4.706373362	0,2,0,2,0,2,3,3,3,2,2,2,1,1,3,2,2,0,2,2,2,3,0,0,3,2,1,3,2,1,0,1,3,3,0,2,0,1,2,0,0,0,1,0,1,2,0,1,1,3,3,1,2,3,0,1,1,3,1,2,0,1,0,0,1,1,3,1,2,3,3,3,0,2,3,1,1,0,0,2,2,0,1,3,1,3,1,3,2,2,1,0,3,3,0,0,2,3,3,1	1.000000000000
n100-set03	family	medium	10	270.260000000	270.578888889	0.318888889	540	400	0.000000000	0	0	71.447083333	334.301066667	106.440303030	106.440303030	0	0.243286132813	0.242424242	26.537964887	105.640000000	4.706373362	0,2,0,2,0,2,3,3,3,2,2,2,1,1,3,2,2,0,2,2,2,3,0,0,3,2,1,3,2,1,0,1,3,3,0,2,0,1,2,0,0,0,1,0,1,2,0,1,1,3,3,1,2,3,0,1,1,3,1,2,0,1,0,0,1,1,3,1,2,3,3,3,0,2,3,1,1,0,0,2,2,0,1,3,1,3,1,3,2,2,1,0,3,3,0,0,2,3,3,1	10.233244982961
n100-set03	family	high	20	528.535000000	528.959595960	0.424595960	1057	781	0.000000000	0	0	139.650000000	653.538666667	106.440303030	106.440303030	0	0.243286132813	0.242424242	26.537964887	105.640000000	4.706373362	0,2,0,2,0,2,3,3,3,2,2,2,1,1,3,2,2,0,2,2,2,3,0,0,3,2,1,3,2,1,0,1,3,3,0,2,0,1,2,0,0,0,1,0,1,2,0,1,1,3,3,1,2,3,0,1,1,3,1,2,0,1,0,0,1,1,3,1,2,3,3,3,0,2,3,1,1,0,0,2,2,0,1,3,1,3,1,3,2,2,1,0,3,3,0,0,2,3,3,1	20.012684589171
n100-set04	family	base	1	25.370000000	25.387171717	0.017171717	50	37	0.000000000	0	0	6.689166667	31.370533333	102.248787879	102.248787879	0	0.243225097656	0.242424242	25.485022894	101.480000000	4.689752087	1,1,1,3,2,0,1,2,2,3,0,1,3,1,1,1,3,0,2,3,0,2,0,2,0,2,3,1,0,0,3,0,1,0,2,2,3,3,3,3,0,1,3,2,0,2,3,3,1,2,2,3,3,0,3,0,1,1,0,0,3,3,1,2,1,1,1,2,0,1,0,3,2,2,1,0,2,1,2,0,2,2,3,1,2,2,0,3,2,0,3,0,1,3,0,3,0,1,2,1	1.000000000000
