taskSetId	scaleLevel	nominalMultiplier	processingSeed	centerSeed	processingArithmeticMean	centerArithmeticMean	processingWeightedMean	processingMinimum	processingMaximum	centerMinimum	centerMaximum	processingMultipliers	centerMultipliers	processingFingerprint	centerFingerprint
n050-set04	medium	10	60360314381526	60359252880042	9.720000000	10.520000000	9.716589862	5	15	5	15	10,12,12,13,14,11,12,11,14,13,15,7,5,9,7,8,13,12,5,10,6,13,13,8,11,7,9,7,14,7,12,8,5,7,14,11,10,11,5,7,5,11,5,13,11,14,5,9,7,8	11,8,14,10,13,10,15,5,11,11,6,7,6,15,12,13,8,8,11,9,10,13,14,9,14,10,15,8,11,15,13,7,7,10,10,7,8,5,14,14,9,15,11,5,6,15,15,13,10,10	5ceb7728f81c4592cd7f71cb7dcb996843a24670c45876a795be4f010dbedaec	ac057fa77b7518fe93411c14c05bbd609946d26db3ec9eb8a45b49251a798f89
n050-set04	high	20	60360230758357	60359203334569	19.820000000	19.880000000	19.741474654	15	25	15	25	24,23,22,16,23,24,22,24,17,16,15,19,18,25,20,17,16,20,18,15,15,16,20,21,19,19,25,25,15,20,24,18,18,18,16,20,23,21,20,19,18,21,20,16,23,21,22,15,24,25	15,19,25,25,25,23,15,17,18,23,18,19,25,18,21,23,19,17,16,18,24,25,15,19,19,20,15,24,23,23,17,23,15,23,21,22,24,17,22,17,18,19,17,20,17,21,16,24,19,16	6577e03394b53c3c1f1f18bc4452e105075764d5e045344290dba3cdc63e4610	91a61e2242a105660e286edb0f63b129febcb18402626a978e6fc18dd8ea0b8f
n050-set05	base	1	0	0	1.000000000	1.000000000	1.000000000	1	1	1	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	f0db2505c1b3e97755fc6b606852cf47027940cb30b1361d4f894ec9f3b40afa	f0db2505c1b3e97755fc6b606852cf47027940cb30b1361d4f894ec9f3b40afa
n050-set05	medium	10	60360314381557	60359252880073	9.940000000	10.020000000	9.341463415	5	15	5	15	15,8,11,15,10,15,8,6,14,11,12,8,11,12,7,5,6,10,12,11,5,10,5,8,5,5,9,13,10,12,8,11,8,11,9,15,8,5,8,11,10,7,15,13,13,10,10,13,14,9	5,13,13,12,9,12,11,11,11,9,11,7,10,7,15,10,14,5,7,10,11,10,6,7,9,7,15,15,7,10,11,10,9,14,15,11,7,12,7,9,14,11,7,5,7,11,10,7,15,10	10fd4431cb2d6679f871d34d1f339ddd682c01286f3ece61381418a07d84193f	1819a0ec9a902c2b2df5e6567344c39c477e6a0da7a6badbd65b5faffee18728
n050-set05	high	20	60360230758388	60359203334600	19.980000000	20.660000000	19.864301552	15	25	15	25	22,25,20,16,16,25,23,24,22,20,15,16,15,17,24,21,23,23,21,18,21,20,20,16,17,24,15,20,17,22,19,19,20,25,18,21,19,19,22,24,20,18,15,18,20,20,15,21,25,23	24,19,21,16,18,25,17,17,23,17,20,16,22,21,23,17,15,20,19,23,20,16,25,17,20,25,16,17,25,23,23,25,25,19,25,23,20,25,23,22,20,16,24,21,24,20,18,19,20,24	e1c560fc02aeab11be5731bcfc9de20c2fae2cd7170ae32409ef572bb32852ea	b319c678ee038d22398d4f4eb2886c8d03eab8e167e25b09267b81dc31aea19a
n060-set01	base	1	0	0	1.000000000	1.000000000	1.000000000	1	1	1	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	77bfded15fe84329be56bbd19b9f26510898edbf5becc21fce835004621f533b	77bfded15fe84329be56bbd19b9f26510898edbf5becc21fce835004621f533b
n060-set01	medium	10	60360314391043	60359252889559	9.750000000	9.716666667	9.362362972	5	15	5	15	9,8,6,8,8,5,8,15,14,11,10,10,15,9,9,15,5,7,15,13,8,5,10,13,11,12,6,13,10,5,6,7,13,12,10,10,14,11,9,14,14,14,6,5,5,9,8,5,8,11,12,11,11,13,5,9,9,14,10,7	5,7,12,13,11,14,15,6,9,15,12,8,5,8,6,12,13,13,9,12,5,7,12,13,13,6,13,5,7,5,8,15,11,6,11,9,11,15,14,8,6,10,6,8,11,12,12,13,8,12,12,14,12,5,5,9,5,8,8,8	e1f2e71c6ea9288c533d90cc41ec67cbd18d89c07b71e1e3c5f595b6d5e160fd	dfe3f936033986816efc9f949ed7f2ee910294fd0160cdf2ac2e5530ac0a4baf
n060-set01	high	20	60360230767874	60359203344086	21.116666667	20.050000000	21.281668697	15	25	15	25	24,24,24,19,25,24,23,21,22,23,24,20,19,22,15,20,20,20,22,19,22,24,24,23,23,18,23,20,18,25,17,18,24,25,19,16,24,24,22,16,22,16,18,21,23,17,24,22,20,25,20,20,24,23,17,20,15,17,25,23	22,25,17,15,17,21,23,17,25,15,21,24,25,17,16,24,23,16,22,19,22,18,18,17,25,19,22,22,20,24,19,21,21,15,20,25,18,16,23,16,21,22,15,18,18,23,17,16,20,23,21,22,20,24,19,20,16,23,15,25	cdf108f81636f7c797351717bdf6c3c0783067f2f39c77371e8bb47b7b0706e5	55b5b17c56a37b8790b45fcc5504878318a594558512cf0b5a7ff04fdac57dac
n060-set02	base	1	0	0	1.000000000	1.000000000	1.000000000	1	1	1	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	77bfded15fe84329be56bbd19b9f26510898edbf5becc21fce835004621f533b	77bfded15fe84329be56bbd19b9f26510898edbf5becc21fce835004621f533b
n060-set02	medium	10	60360314391074	60359252889590	9.550000000	10.266666667	9.412882448	5	15	5	15	7,9,15,8,12,15,9,6,7,5,10,7,10,12,13,10,12,8,7,5,14,7,9,11,10,15,7,6,12,5,13,11,13,10,12,11,9,10,8,8,5,11,13,7,13,8,12,11,9,7,6,13,14,10,12,6,5,8,9,6	14,7,10,13,13,13,6,6,14,11,12,5,12,11,8,7,9,5,12,15,14,9,13,8,14,9,14,8,11,7,14,8,13,15,13,11,7,13,15,13,8,6,13,10,8,11,14,8,9,9,6,5,6,13,12,7,12,14,7,6	39ff7f962e28216cf2fe9f83a13e552b651752dd3c1ddfc25246dd4a2199f4fd	7d4a76da515d67baaacbfdd24bcaa2f099648fe109daf64e948c02a2051b2ab9
n060-set02	high	20	60360230767905	60359203344117	19.783333333	19.783333333	19.945249597	15	25	15	25	18,21,22,22,21,17,19,17,22,19,19,19,15,15,16,17,15,17,18,21,23,22,16,21,18,17,23,24,24,20,15,21,15,20,25,20,23,21,24,20,18,21,16,20,24,24,17,15,25,24,25,16,20,19,15,19,24,23,15,25	16,21,16,18,24,25,21,23,25,22,18,25,20,20,19,20,16,25,21,21,21,15,21,17,20,18,23,17,15,19,17,24,15,19,16,20,17,23,25,20,17,18,24,18,19,19,21,20,17,23,15,17,19,20,18,19,25,17,18,25	f499fa37bbd9830fb8b1a4e0f615a066933ef84c7f95c5401d4c3f2f9e7442bc	46be380ecf420915038f29c72464f838d4c365e67baa587c75e8692af35d6063
n060-set03	base	1	0	0	1.000000000	1.000000000	1.000000000	1	1	1	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	77bfded15fe84329be56bbd19b9f26510898edbf5becc21fce835004621f533b	77bfded15fe84329be56bbd19b9f26510898edbf5becc21fce835004621f533b
n060-set03	medium	10	60360314391105	60359252889621	10.233333333	9.750000000	10.087435233	5	15	5	15	12,14,14,10,8,8,7,12,7,14,6,8,5,15,13,7,5,5,14,6,15,15,14,8,5,14,9,12,7,11,11,14,7,14,8,15,8,5,11,11,10,7,11,7,14,15,5,15,14,7,11,10,12,6,11,7,14,14,12,8	14,11,11,6,6,5,14,15,13,13,9,12,9,10,7,13,5,8,15,10,9,12,8,13,8,14,11,7,9,5,10,13,6,8,12,12,14,10,8,13,12,6,6,7,7,8,7,5,6,15,13,6,8,7,8,8,15,14,11,8	6b67bb4fdb3780c995fa8d00577be4e75b60143bf3cdd39ebb64ba3449afb081	1fc47305bc11662c62f454745e4be730997cb2b27f834a732d810df06502604f
n060-set03	high	20	60360230767936	60359203344148	19.766666667	19.533333333	19.664507772	15	25	15	25	16,22,21,22,23,16,21,17,16,23,19,16,20,17,20,21,22,19,23,23,19,15,15,19,17,22,24,19,15,20,21,22,17,17,18,22,18,18,25,25,20,18,23,22,21,23,21,21,17,21,19,18,25,16,22,17,20,18,16,23	15,15,21,21,20,19,17,20,16,15,25,15,23,22,24,25,17,17,23,22,19,17,17,17,22,23,16,17,22,24,23,18,23,24,21,24,20,21,17,18,16,18,17,21,23,20,18,25,17,18,20,25,15,19,15,21,17,21,15,16	1bf3d8982ee8705c05f24689c283270ecbeb27a44a271815f26289784a84e0ec	fdd3bccbe6ffc43d6ec5002cb78f7baaa1943fe1166eef478d02a6b38a0498d9
n060-set04	base	1	0	0	1.000000000	1.000000000	1.000000000	1	1	1	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	77bfded15fe84329be56bbd19b9f26510898edbf5becc21fce835004621f533b	77bfded15fe84329be56bbd19b9f26510898edbf5becc21fce835004621f533b
n060-set04	medium	10	60360314391136	60359252889652	9.800000000	9.800000000	9.791601866	5	15	5	15	10,5,10,11,10,8,9,12,12,8,6,5,11,7,6,11,12,9,6,11,11,6,13,15,15,8,11,5,11,11,6,15,8,12,10,8,14,13,11,6,12,15,7,9,11,13,9,10,7,14,5,12,5,14,7,14,10,9,11,6	12,13,9,7,8,15,5,15,5,7,9,10,15,13,9,6,12,9,7,15,15,6,7,10,9,8,12,11,13,7,6,14,8,6,14,13,11,8,8,7,14,14,14,9,14,7,9,12,8,13,7,8,13,6,5,5,11,8,10,7	e361df91d9a1705a109f5ece8b717227dc277935405b0df92220eb7080f1b475	8c2309a1a1b8e85acccbc0f38c1900a5d0055fc66723588733a5f1b453311898
n060-set04	high	20	60360230767967	60359203344179	20.483333333	20.233333333	20.683670295	15	25	15	25	16,25,19,17,25,24,22,15,21,18,21,17,15,21,19,17,18,21,18,24,19,17,23,25,24,25,24,19,24,21,19,20,20,21,25,22,20,24,19,16,24,22,18,17,25,15,19,23,24,19,25,23,18,22,16,16,22,22,20,19	17,21,17,21,17,15,22,24,24,16,19,22,19,24,16,16,25,24,21,17,22,15,23,21,16,20,19,20,19,22,15,18,22,25,21,22,24,22,16,25,15,20,21,24,15,21,18,23,24,22,18,21,25,20,20,18,23,15,23,24	af22bdd4d2c0533f2508342ed24edeefed857b8c39f83443e2bff8972ef47980	2407b83fcf320c3bf1c10a833c96c40c8f40762486253f030e9ae783ba54dd82
n060-set05	base	1	0	0	1.000000000	1.000000000	1.000000000	1	1	1	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	77bfded15fe84329be56bbd19b9f26510898edbf5becc21fce835004621f533b	77bfded15fe84329be56bbd19b9f26510898edbf5becc21fce835004621f533b
n060-set05	medium	10	60360314391167	60359252889683	9.583333333	9.783333333	9.196901996	5	15	5	15	9,8,9,6,12,5,10,8,15,14,6,15,6,8,6,7,10,11,14,9,9,8,8,12,11,11,8,5,7,13,14,15,11,5,7,6,5,7,5,7,6,8,5,14,15,15,7,12,14,13,12,6,10,9,11,13,11,12,5,15	13,8,5,7,6,14,12,10,12,10,14,6,9,5,14,8,11,5,5,9,7,13,14,14,15,5,15,14,10,14,9,5,7,7,15,12,13,8,9,14,13,14,7,11,6,6,11,9,6,6,5,5,12,5,10,14,7,15,7,15	f53b6bd20816699e3c95886a7af8f5d2d5c0c907942e646d1b49ee57b7d320ec	54f6fddc4c27958d551b587f5ff22d168bee78ef712bc0061f52b571379a5392
n060-set05	high	20	60360230767998	60359203344210	20.350000000	19.850000000	20.096812630	15	25	15	25	25,16,18,17,16,24,24,15,24,23,21,15,21,23,23,21,25,25,23,16,15,19,22,22,23,17,25,23,17,23,25,23,22,19,16,24,16,21,20,21,15,21,16,19,21,25,21,18,15,16,20,25,23,19,23,23,19,16,19,19	15,23,15,21,18,15,24,24,18,23,19,19,25,16,18,20,21,17,24,20,18,18,22,18,15,23,20,24,23,22,22,21,24,21,23,24,19,19,18,19,17,17,16,15,22,20,22,18,16,19,23,25,17,17,17,16,19,22,22,23	5963c68dced399fd7b00af19c5cd8843f7b567d7d0792c2f64e051228feb18cd	f6c374a42f0cad247fe3957595bf6321369b5ff204e5ae4b790b0b467e745049
n080-set01	base	1	0	0	1.000000000	1.000000000	1.000000000	1	1	1	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1d022e0936dc4003cbd8aa274457de0fb556bfb9b691ac5759ccfe411872fc5e	1d022e0936dc4003cbd8aa274457de0fb556bfb9b691ac5759ccfe411872fc5e
n080-set01	medium	10	60360314410263	60359252908779	10.062500000	9.725000000	9.988508337	5	15	5	15	8,6,14,13,14,5,9,15,13,8,15,14,9,6,14,12,9,8,11,15,7,12,15,6,10,8,14,9,15,9,7,15,13,5,6,11,9,15,11,11,12,13,6,8,8,8,14,5,12,15,9,8,13,14,10,7,12,13,13,5,9,13,13,9,5,10,5,8,7,5,10,5,7,8,13,15,11,5,7,9	15,12,10,12,6,6,10,5,6,6,9,15,10,10,6,11,6,9,8,8,10,6,10,11,11,12,15,6,9,7,8,6,14,14,8,12,15,14,10,13,13,12,14,11,8,12,11,14,5,5,5,6,12,6,6,15,10,10,14,9,9,15,13,10,12,5,5,10,10,8,12,11,5,6,11,8,11,13,8,7	c5992fcb40cd70c3956e381ad675369180319506d00e90af40472a47e2e6663b	cdd8a46dac790b5a57de87ae0d74c4efadf76db91c7b31488a6be3ba753f042f
n080-set01	high	20	60360230787094	60359203363306	19.450000000	19.812500000	19.472960793	15	25	15	25	16,15,19,25,24,21,18,16,21,16,22,15,17,17,24,25,25,24,17,17,16,19,24,18,20,19,24,23,22,19,15,23,17,23,16,23,22,16,15,17,21,15,25,21,24,24,24,17,17,17,21,17,18,22,20,16,18,16,19,20,17,19,19,21,20,22,16,19,20,15,19,25,17,24,17,18,17,17,19,18	23,15,23,16,24,25,22,22,20,24,17,25,17,16,18,20,23,15,22,20,23,25,24,17,24,21,20,17,16,15,23,22,25,15,23,15,21,23,15,25,17,21,20,18,22,22,16,20,22,21,16,20,20,20,23,17,16,18,16,25,23,16,15,21,18,20,25,17,18,22,18,20,24,16,20,18,15,15,15,23	e254006a74ae224e6134b6508f6dc46e4dd613e2d07337ff703cba4ef0a58200	672d040206bbf92eeafe41be27a24ed85fdbce672ce7274aebd4f2d7c4f1d5da
n080-set02	base	1	0	0	1.000000000	1.000000000	1.000000000	1	1	1	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1d022e0936dc4003cbd8aa274457de0fb556bfb9b691ac5759ccfe411872fc5e	1d022e0936dc4003cbd8aa274457de0fb556bfb9b691ac5759ccfe411872fc5e
n080-set02	medium	10	60360314410294	60359252908810	10.512500000	10.125000000	10.607694134	5	15	5	15	6,6,12,14,6,6,12,15,5,13,15,12,15,9,5,7,15,11,5,7,13,14,14,12,8,13,15,13,7,10,14,5,14,12,8,12,15,12,11,5,14,10,13,10,15,6,7,11,5,13,5,10,7,13,6,6,8,10,12,6,10,12,15,9,15,11,9,8,10,14,14,13,10,13,15,10,13,13,10,7	15,5,14,6,13,10,6,12,11,10,8,6,13,12,10,7,5,15,10,10,7,8,15,11,13,5,8,6,5,14,5,11,11,8,15,15,5,12,13,11,13,12,5,12,12,13,8,9,15,9,11,11,8,8,5,7,13,13,11,11,6,10,11,10,12,8,12,9,11,10,15,12,6,12,9,11,11,10,9,14	73d65f62131684af92d51692d4fbcd72607b13099e01e6788cd6c8f3fcb6e24a	5ab7ef17f0457777f74ad120f5ac3d83a2523f966320fa8570d0eb9e9fc9467c
n080-set02	high	20	60360230787125	60359203363337	19.837500000	20.487500000	19.794585609	15	25	15	25	21,23,17,16,20,23,16,23,21,25,19,24,21,20,15,22,19,21,24,19,17,16,16,16,15,19,24,18,17,23,22,15,21,16,23,16,21,24,16,23,17,20,24,21,24,20,17,22,24,17,24,23,16,16,18,15,25,19,22,21,16,22,15,19,18,15,21,22,18,16,22,19,23,24,18,20,20,23,23,21	24,18,25,22,22,18,16,19,23,19,21,24,21,22,23,23,16,25,21,17,20,25,19,24,22,16,22,23,20,16,19,17,19,19,21,16,21,18,22,17,21,16,17,24,23,23,21,25,25,16,24,16,19,16,21,24,18,22,23,21,23,20,23,20,19,23,20,16,24,22,18,22,17,25,23,25,16,15,22,16	c816d186427132c1b59111e46e6387ad5b8de4f88f054c0148605c7b3135cad1	fc08de18491c919b5fb0dec2ae3a6ee54fa67c3197026ed531faef87e282251a
n080-set03	base	1	0	0	1.000000000	1.000000000	1.000000000	1	1	1	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1d022e0936dc4003cbd8aa274457de0fb556bfb9b691ac5759ccfe411872fc5e	1d022e0936dc4003cbd8aa274457de0fb556bfb9b691ac5759ccfe411872fc5e
