taskSetId	size	caseIndex	machines	setupType	scaleLevel	nominalScale	windowLevel	windowMinimum	windowMaximum	windowFingerprint	instance	sourceFile	averageProcessing
n050-set01	50	1	3	family	medium	10	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set01/family/medium-heterogeneous/zero/m3.dat	data/50-1/wet050_060.dat	542.080000000
n050-set01	50	1	4	family	medium	10	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set01/family/medium-heterogeneous/zero/m4.dat	data/50-1/wet050_060.dat	542.080000000
n050-set01	50	1	2	family	medium	10	narrow	800	1200	c777e93152bd91d0a05475a87df9610e9ab3f159332b284fd5982a10a92c3b83	data/n050-set01/family/medium-heterogeneous/narrow/m2.dat	data/50-1/wet050_060.dat	542.080000000
n050-set01	50	1	3	family	medium	10	narrow	800	1200	c777e93152bd91d0a05475a87df9610e9ab3f159332b284fd5982a10a92c3b83	data/n050-set01/family/medium-heterogeneous/narrow/m3.dat	data/50-1/wet050_060.dat	542.080000000
n050-set01	50	1	4	family	medium	10	narrow	800	1200	c777e93152bd91d0a05475a87df9610e9ab3f159332b284fd5982a10a92c3b83	data/n050-set01/family/medium-heterogeneous/narrow/m4.dat	data/50-1/wet050_060.dat	542.080000000
n050-set01	50	1	2	family	medium	10	wide	2800	3200	f25d144a322f4f1864269c3b53606b4c6258352588706308b415457504698835	data/n050-set01/family/medium-heterogeneous/wide/m2.dat	data/50-1/wet050_060.dat	542.080000000
n050-set01	50	1	3	family	medium	10	wide	2800	3200	f25d144a322f4f1864269c3b53606b4c6258352588706308b415457504698835	data/n050-set01/family/medium-heterogeneous/wide/m3.dat	data/50-1/wet050_060.dat	542.080000000
n050-set01	50	1	4	family	medium	10	wide	2800	3200	f25d144a322f4f1864269c3b53606b4c6258352588706308b415457504698835	data/n050-set01/family/medium-heterogeneous/wide/m4.dat	data/50-1/wet050_060.dat	542.080000000
n050-set01	50	1	2	family	high	20	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set01/family/high-heterogeneous/zero/m2.dat	data/50-1/wet050_060.dat	1043.040000000
n050-set01	50	1	3	family	high	20	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set01/family/high-heterogeneous/zero/m3.dat	data/50-1/wet050_060.dat	1043.040000000
n050-set01	50	1	4	family	high	20	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set01/family/high-heterogeneous/zero/m4.dat	data/50-1/wet050_060.dat	1043.040000000
n050-set01	50	1	2	family	high	20	narrow	1600	2400	1eab2dd87f2d98d2a9c39f98bd0d1b095f0a25da4969a601710af8de4bdb9702	data/n050-set01/family/high-heterogeneous/narrow/m2.dat	data/50-1/wet050_060.dat	1043.040000000
n050-set01	50	1	3	family	high	20	narrow	1600	2400	1eab2dd87f2d98d2a9c39f98bd0d1b095f0a25da4969a601710af8de4bdb9702	data/n050-set01/family/high-heterogeneous/narrow/m3.dat	data/50-1/wet050_060.dat	1043.040000000
n050-set01	50	1	4	family	high	20	narrow	1600	2400	1eab2dd87f2d98d2a9c39f98bd0d1b095f0a25da4969a601710af8de4bdb9702	data/n050-set01/family/high-heterogeneous/narrow/m4.dat	data/50-1/wet050_060.dat	1043.040000000
n050-set01	50	1	2	family	high	20	wide	5600	6400	32216f24314d1e60997f9ea98d9ce2cbe0f19cf5b2e3929f87e7ba08238772f1	data/n050-set01/family/high-heterogeneous/wide/m2.dat	data/50-1/wet050_060.dat	1043.040000000
n050-set01	50	1	3	family	high	20	wide	5600	6400	32216f24314d1e60997f9ea98d9ce2cbe0f19cf5b2e3929f87e7ba08238772f1	data/n050-set01/family/high-heterogeneous/wide/m3.dat	data/50-1/wet050_060.dat	1043.040000000
n050-set01	50	1	4	family	high	20	wide	5600	6400	32216f24314d1e60997f9ea98d9ce2cbe0f19cf5b2e3929f87e7ba08238772f1	data/n050-set01/family/high-heterogeneous/wide/m4.dat	data/50-1/wet050_060.dat	1043.040000000
n050-set02	50	2	2	family	base	1	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set02/family/base/zero/m2.dat	data/50-1/wet050_091.dat	53.740000000
n050-set02	50	2	3	family	base	1	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set02/family/base/zero/m3.dat	data/50-1/wet050_091.dat	53.740000000
n050-set02	50	2	4	family	base	1	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set02/family/base/zero/m4.dat	data/50-1/wet050_091.dat	53.740000000
n050-set02	50	2	2	family	base	1	narrow	80	120	0b357d1b089b0c924c558df5014486e2124255cdae1c2cd41adf3593b6e9672c	data/n050-set02/family/base/narrow/m2.dat	data/50-1/wet050_091.dat	53.740000000
n050-set02	50	2	3	family	base	1	narrow	80	120	0b357d1b089b0c924c558df5014486e2124255cdae1c2cd41adf3593b6e9672c	data/n050-set02/family/base/narrow/m3.dat	data/50-1/wet050_091.dat	53.740000000
n050-set02	50	2	4	family	base	1	narrow	80	120	0b357d1b089b0c924c558df5014486e2124255cdae1c2cd41adf3593b6e9672c	data/n050-set02/family/base/narrow/m4.dat	data/50-1/wet050_091.dat	53.740000000
n050-set02	50	2	2	family	base	1	wide	280	320	f95a69dd342d991d914579c76ad2b656e4dfb3c9ec85fcbcbc7c64da25f58912	data/n050-set02/family/base/wide/m2.dat	data/50-1/wet050_091.dat	53.740000000
n050-set02	50	2	3	family	base	1	wide	280	320	f95a69dd342d991d914579c76ad2b656e4dfb3c9ec85fcbcbc7c64da25f58912	data/n050-set02/family/base/wide/m3.dat	data/50-1/wet050_091.dat	53.740000000
n050-set02	50	2	4	family	base	1	wide	280	320	f95a69dd342d991d914579c76ad2b656e4dfb3c9ec85fcbcbc7c64da25f58912	data/n050-set02/family/base/wide/m4.dat	data/50-1/wet050_091.dat	53.740000000
n050-set02	50	2	2	family	medium	10	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set02/family/medium-heterogeneous/zero/m2.dat	data/50-1/wet050_091.dat	543.860000000
n050-set02	50	2	3	family	medium	10	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set02/family/medium-heterogeneous/zero/m3.dat	data/50-1/wet050_091.dat	543.860000000
n050-set02	50	2	4	family	medium	10	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set02/family/medium-heterogeneous/zero/m4.dat	data/50-1/wet050_091.dat	543.860000000
n050-set02	50	2	2	family	medium	10	narrow	800	1200	80cb4608781533f2b1ae38648dfbe95c16c71cc8ae79ba30623006c5bbe09d0a	data/n050-set02/family/medium-heterogeneous/narrow/m2.dat	data/50-1/wet050_091.dat	543.860000000
n050-set02	50	2	3	family	medium	10	narrow	800	1200	80cb4608781533f2b1ae38648dfbe95c16c71cc8ae79ba30623006c5bbe09d0a	data/n050-set02/family/medium-heterogeneous/narrow/m3.dat	data/50-1/wet050_091.dat	543.860000000
n050-set02	50	2	4	family	medium	10	narrow	800	1200	80cb4608781533f2b1ae38648dfbe95c16c71cc8ae79ba30623006c5bbe09d0a	data/n050-set02/family/medium-heterogeneous/narrow/m4.dat	data/50-1/wet050_091.dat	543.860000000
n050-set02	50	2	2	family	medium	10	wide	2800	3200	f658c91031cfdb6ce9ecf1e8c994d1f2ccd7fbbda9c7d71932345fb666d904bf	data/n050-set02/family/medium-heterogeneous/wide/m2.dat	data/50-1/wet050_091.dat	543.860000000
n050-set02	50	2	3	family	medium	10	wide	2800	3200	f658c91031cfdb6ce9ecf1e8c994d1f2ccd7fbbda9c7d71932345fb666d904bf	data/n050-set02/family/medium-heterogeneous/wide/m3.dat	data/50-1/wet050_091.dat	543.860000000
n050-set02	50	2	4	family	medium	10	wide	2800	3200	f658c91031cfdb6ce9ecf1e8c994d1f2ccd7fbbda9c7d71932345fb666d904bf	data/n050-set02/family/medium-heterogeneous/wide/m4.dat	data/50-1/wet050_091.dat	543.860000000
n050-set02	50	2	2	family	high	20	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set02/family/high-heterogeneous/zero/m2.dat	data/50-1/wet050_091.dat	1079.920000000
n050-set02	50	2	3	family	high	20	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set02/family/high-heterogeneous/zero/m3.dat	data/50-1/wet050_091.dat	1079.920000000
n050-set02	50	2	4	family	high	20	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set02/family/high-heterogeneous/zero/m4.dat	data/50-1/wet050_091.dat	1079.920000000
n050-set02	50	2	2	family	high	20	narrow	1600	2400	4eedb8bbcf3dd9dd542c39a87c64fbfa3d758d7aeeaf5bc52fd9333393c585d5	data/n050-set02/family/high-heterogeneous/narrow/m2.dat	data/50-1/wet050_091.dat	1079.920000000
n050-set02	50	2	3	family	high	20	narrow	1600	2400	4eedb8bbcf3dd9dd542c39a87c64fbfa3d758d7aeeaf5bc52fd9333393c585d5	data/n050-set02/family/high-heterogeneous/narrow/m3.dat	data/50-1/wet050_091.dat	1079.920000000
n050-set02	50	2	4	family	high	20	narrow	1600	2400	4eedb8bbcf3dd9dd542c39a87c64fbfa3d758d7aeeaf5bc52fd9333393c585d5	data/n050-set02/family/high-heterogeneous/narrow/m4.dat	data/50-1/wet050_091.dat	1079.920000000
n050-set02	50	2	2	family	high	20	wide	5600	6400	4f1fa2389e939ee3ca4a5b864a70faa7ff55244e2a22e44928269fbdc5240905	data/n050-set02/family/high-heterogeneous/wide/m2.dat	data/50-1/wet050_091.dat	1079.920000000
n050-set02	50	2	3	family	high	20	wide	5600	6400	4f1fa2389e939ee3ca4a5b864a70faa7ff55244e2a22e44928269fbdc5240905	data/n050-set02/family/high-heterogeneous/wide/m3.dat	data/50-1/wet050_091.dat	1079.920000000
n050-set02	50	2	4	family	high	20	wide	5600	6400	4f1fa2389e939ee3ca4a5b864a70faa7ff55244e2a22e44928269fbdc5240905	data/n050-set02/family/high-heterogeneous/wide/m4.dat	data/50-1/wet050_091.dat	1079.920000000
n050-set03	50	3	2	family	base	1	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set03/family/base/zero/m2.dat	data/50-1/wet050_049.dat	51.020000000
n050-set03	50	3	3	family	base	1	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set03/family/base/zero/m3.dat	data/50-1/wet050_049.dat	51.020000000
n050-set03	50	3	4	family	base	1	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set03/family/base/zero/m4.dat	data/50-1/wet050_049.dat	51.020000000
n050-set03	50	3	2	family	base	1	narrow	80	120	08fe23a96bf27b59e5448fcb8131b25011fe180e50caba021d44bc15d16e9ad9	data/n050-set03/family/base/narrow/m2.dat	data/50-1/wet050_049.dat	51.020000000
n050-set03	50	3	3	family	base	1	narrow	80	120	08fe23a96bf27b59e5448fcb8131b25011fe180e50caba021d44bc15d16e9ad9	data/n050-set03/family/base/narrow/m3.dat	data/50-1/wet050_049.dat	51.020000000
n050-set03	50	3	4	family	base	1	narrow	80	120	08fe23a96bf27b59e5448fcb8131b25011fe180e50caba021d44bc15d16e9ad9	data/n050-set03/family/base/narrow/m4.dat	data/50-1/wet050_049.dat	51.020000000
n050-set03	50	3	2	family	base	1	wide	280	320	3f252e103f7159bf90a801a7a4044c7b3cbe5e57f343e400f8cb11b61e8706f5	data/n050-set03/family/base/wide/m2.dat	data/50-1/wet050_049.dat	51.020000000
n050-set03	50	3	3	family	base	1	wide	280	320	3f252e103f7159bf90a801a7a4044c7b3cbe5e57f343e400f8cb11b61e8706f5	data/n050-set03/family/base/wide/m3.dat	data/50-1/wet050_049.dat	51.020000000
n050-set03	50	3	4	family	base	1	wide	280	320	3f252e103f7159bf90a801a7a4044c7b3cbe5e57f343e400f8cb11b61e8706f5	data/n050-set03/family/base/wide/m4.dat	data/50-1/wet050_049.dat	51.020000000
n050-set03	50	3	2	family	medium	10	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set03/family/medium-heterogeneous/zero/m2.dat	data/50-1/wet050_049.dat	546.180000000
n050-set03	50	3	3	family	medium	10	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set03/family/medium-heterogeneous/zero/m3.dat	data/50-1/wet050_049.dat	546.180000000
n050-set03	50	3	4	family	medium	10	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set03/family/medium-heterogeneous/zero/m4.dat	data/50-1/wet050_049.dat	546.180000000
n050-set03	50	3	2	family	medium	10	narrow	800	1200	6430214a489656da480f6b1517d16f8531d065fc54479f45e8d35b1adfaec4b8	data/n050-set03/family/medium-heterogeneous/narrow/m2.dat	data/50-1/wet050_049.dat	546.180000000
n050-set03	50	3	3	family	medium	10	narrow	800	1200	6430214a489656da480f6b1517d16f8531d065fc54479f45e8d35b1adfaec4b8	data/n050-set03/family/medium-heterogeneous/narrow/m3.dat	data/50-1/wet050_049.dat	546.180000000
n050-set03	50	3	4	family	medium	10	narrow	800	1200	6430214a489656da480f6b1517d16f8531d065fc54479f45e8d35b1adfaec4b8	data/n050-set03/family/medium-heterogeneous/narrow/m4.dat	data/50-1/wet050_049.dat	546.180000000
n050-set03	50	3	2	family	medium	10	wide	2800	3200	42d32210878fa7355b5d0c05a7d1d6396732d97e8b1fd75f25cb8da915273d8c	data/n050-set03/family/medium-heterogeneous/wide/m2.dat	data/50-1/wet050_049.dat	546.180000000
n050-set03	50	3	3	family	medium	10	wide	2800	3200	42d32210878fa7355b5d0c05a7d1d6396732d97e8b1fd75f25cb8da915273d8c	data/n050-set03/family/medium-heterogeneous/wide/m3.dat	data/50-1/wet050_049.dat	546.180000000
n050-set03	50	3	4	family	medium	10	wide	2800	3200	42d32210878fa7355b5d0c05a7d1d6396732d97e8b1fd75f25cb8da915273d8c	data/n050-set03/family/medium-heterogeneous/wide/m4.dat	data/50-1/wet050_049.dat	546.180000000
n050-set03	50	3	2	family	high	20	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set03/family/high-heterogeneous/zero/m2.dat	data/50-1/wet050_049.dat	1046.180000000
n050-set03	50	3	3	family	high	20	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set03/family/high-heterogeneous/zero/m3.dat	data/50-1/wet050_049.dat	1046.180000000
n050-set03	50	3	4	family	high	20	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set03/family/high-heterogeneous/zero/m4.dat	data/50-1/wet050_049.dat	1046.180000000
n050-set03	50	3	2	family	high	20	narrow	1600	2400	120267561b08389cbcf97e6d2235269c93d5a57379e267bd053e6b99e1cfb5ea	data/n050-set03/family/high-heterogeneous/narrow/m2.dat	data/50-1/wet050_049.dat	1046.180000000
n050-set03	50	3	3	family	high	20	narrow	1600	2400	120267561b08389cbcf97e6d2235269c93d5a57379e267bd053e6b99e1cfb5ea	data/n050-set03/family/high-heterogeneous/narrow/m3.dat	data/50-1/wet050_049.dat	1046.180000000
n050-set03	50	3	4	family	high	20	narrow	1600	2400	120267561b08389cbcf97e6d2235269c93d5a57379e267bd053e6b99e1cfb5ea	data/n050-set03/family/high-heterogeneous/narrow/m4.dat	data/50-1/wet050_049.dat	1046.180000000
n050-set03	50	3	2	family	high	20	wide	5600	6400	ced67998808573332254746a5a7d97cd6483845b3abbb020c3d021619f67e68c	data/n050-set03/family/high-heterogeneous/wide/m2.dat	data/50-1/wet050_049.dat	1046.180000000
n050-set03	50	3	3	family	high	20	wide	5600	6400	ced67998808573332254746a5a7d97cd6483845b3abbb020c3d021619f67e68c	data/n050-set03/family/high-heterogeneous/wide/m3.dat	data/50-1/wet050_049.dat	1046.180000000
n050-set03	50	3	4	family	high	20	wide	5600	6400	ced67998808573332254746a5a7d97cd6483845b3abbb020c3d021619f67e68c	data/n050-set03/family/high-heterogeneous/wide/m4.dat	data/50-1/wet050_049.dat	1046.180000000
n050-set04	50	4	2	family	base	1	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set04/family/base/zero/m2.dat	data/50-1/wet050_109.dat	43.400000000
n050-set04	50	4	3	family	base	1	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set04/family/base/zero/m3.dat	data/50-1/wet050_109.dat	43.400000000
n050-set04	50	4	4	family	base	1	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set04/family/base/zero/m4.dat	data/50-1/wet050_109.dat	43.400000000
n050-set04	50	4	2	family	base	1	narrow	80	120	7e08a6d89917380d81ccdb624b3d5ea962080267ad7e7c82c69469f815bf084d	data/n050-set04/family/base/narrow/m2.dat	data/50-1/wet050_109.dat	43.400000000
n050-set04	50	4	3	family	base	1	narrow	80	120	7e08a6d89917380d81ccdb624b3d5ea962080267ad7e7c82c69469f815bf084d	data/n050-set04/family/base/narrow/m3.dat	data/50-1/wet050_109.dat	43.400000000
n050-set04	50	4	4	family	base	1	narrow	80	120	7e08a6d89917380d81ccdb624b3d5ea962080267ad7e7c82c69469f815bf084d	data/n050-set04/family/base/narrow/m4.dat	data/50-1/wet050_109.dat	43.400000000
n050-set04	50	4	2	family	base	1	wide	280	320	9fcedf81072a96e02d9dbad3a0a00a538c2c4fadc90e268c83c723295163bb2f	data/n050-set04/family/base/wide/m2.dat	data/50-1/wet050_109.dat	43.400000000
n050-set04	50	4	3	family	base	1	wide	280	320	9fcedf81072a96e02d9dbad3a0a00a538c2c4fadc90e268c83c723295163bb2f	data/n050-set04/family/base/wide/m3.dat	data/50-1/wet050_109.dat	43.400000000
n050-set04	50	4	4	family	base	1	wide	280	320	9fcedf81072a96e02d9dbad3a0a00a538c2c4fadc90e268c83c723295163bb2f	data/n050-set04/family/base/wide/m4.dat	data/50-1/wet050_109.dat	43.400000000
n050-set04	50	4	2	family	medium	10	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set04/family/medium-heterogeneous/zero/m2.dat	data/50-1/wet050_109.dat	421.700000000
n050-set04	50	4	3	family	medium	10	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set04/family/medium-heterogeneous/zero/m3.dat	data/50-1/wet050_109.dat	421.700000000
n050-set04	50	4	4	family	medium	10	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set04/family/medium-heterogeneous/zero/m4.dat	data/50-1/wet050_109.dat	421.700000000
n050-set04	50	4	2	family	medium	10	narrow	800	1200	f1f69b0cfd2300c3a6d332ff3b180ddc24344c05e5b171c8882fd9221b097058	data/n050-set04/family/medium-heterogeneous/narrow/m2.dat	data/50-1/wet050_109.dat	421.700000000
n050-set04	50	4	3	family	medium	10	narrow	800	1200	f1f69b0cfd2300c3a6d332ff3b180ddc24344c05e5b171c8882fd9221b097058	data/n050-set04/family/medium-heterogeneous/narrow/m3.dat	data/50-1/wet050_109.dat	421.700000000
n050-set04	50	4	4	family	medium	10	narrow	800	1200	f1f69b0cfd2300c3a6d332ff3b180ddc24344c05e5b171c8882fd9221b097058	data/n050-set04/family/medium-heterogeneous/narrow/m4.dat	data/50-1/wet050_109.dat	421.700000000
n050-set04	50	4	2	family	medium	10	wide	2800	3200	36d9e178593744363683f1e7f4ce19786cbebbcf682ac8dad291f93dd505092b	data/n050-set04/family/medium-heterogeneous/wide/m2.dat	data/50-1/wet050_109.dat	421.700000000
n050-set04	50	4	3	family	medium	10	wide	2800	3200	36d9e178593744363683f1e7f4ce19786cbebbcf682ac8dad291f93dd505092b	data/n050-set04/family/medium-heterogeneous/wide/m3.dat	data/50-1/wet050_109.dat	421.700000000
n050-set04	50	4	4	family	medium	10	wide	2800	3200	36d9e178593744363683f1e7f4ce19786cbebbcf682ac8dad291f93dd505092b	data/n050-set04/family/medium-heterogeneous/wide/m4.dat	data/50-1/wet050_109.dat	421.700000000
n050-set04	50	4	2	family	high	20	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set04/family/high-heterogeneous/zero/m2.dat	data/50-1/wet050_109.dat	856.780000000
n050-set04	50	4	3	family	high	20	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set04/family/high-heterogeneous/zero/m3.dat	data/50-1/wet050_109.dat	856.780000000
n050-set04	50	4	4	family	high	20	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set04/family/high-heterogeneous/zero/m4.dat	data/50-1/wet050_109.dat	856.780000000
n050-set04	50	4	2	family	high	20	narrow	1600	2400	f2f9fc4b69c956d970b4449db2a5a20fe193a5344e45e6dff8b90a6b541e98c8	data/n050-set04/family/high-heterogeneous/narrow/m2.dat	data/50-1/wet050_109.dat	856.780000000
n050-set04	50	4	3	family	high	20	narrow	1600	2400	f2f9fc4b69c956d970b4449db2a5a20fe193a5344e45e6dff8b90a6b541e98c8	data/n050-set04/family/high-heterogeneous/narrow/m3.dat	data/50-1/wet050_109.dat	856.780000000
n050-set04	50	4	4	family	high	20	narrow	1600	2400	f2f9fc4b69c956d970b4449db2a5a20fe193a5344e45e6dff8b90a6b541e98c8	data/n050-set04/family/high-heterogeneous/narrow/m4.dat	data/50-1/wet050_109.dat	856.780000000
n050-set04	50	4	2	family	high	20	wide	5600	6400	a5e13d002f6614eaf6f164d9746e91b875aa581b0ff26a96ceecb2b714d9be72	data/n050-set04/family/high-heterogeneous/wide/m2.dat	data/50-1/wet050_109.dat	856.780000000
n050-set04	50	4	3	family	high	20	wide	5600	6400	a5e13d002f6614eaf6f164d9746e91b875aa581b0ff26a96ceecb2b714d9be72	data/n050-set04/family/high-heterogeneous/wide/m3.dat	data/50-1/wet050_109.dat	856.780000000
n050-set04	50	4	4	family	high	20	wide	5600	6400	a5e13d002f6614eaf6f164d9746e91b875aa581b0ff26a96ceecb2b714d9be72	data/n050-set04/family/high-heterogeneous/wide/m4.dat	data/50-1/wet050_109.dat	856.780000000
n050-set05	50	5	2	family	base	1	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set05/family/base/zero/m2.dat	data/50-1/wet050_062.dat	45.100000000
n050-set05	50	5	3	family	base	1	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set05/family/base/zero/m3.dat	data/50-1/wet050_062.dat	45.100000000
n050-set05	50	5	4	family	base	1	zero	0	0	84cfbc0f499f8ee4d0c98ebb7b4785f9dbd066c955c4003aa4345e2ff03727dd	data/n050-set05/family/base/zero/m4.dat	data/50-1/wet050_062.dat	45.100000000
n050-set05	50	5	2	family	base	1	narrow	80	120	4de91685b0538eb037859eced2f99df0d8ec34665615eff6622b622d2debe0fe	data/n050-set05/family/base/narrow/m2.dat	data/50-1/wet050_062.dat	45.100000000
n050-set05	50	5	3	family	base	1	narrow	80	120	4de91685b0538eb037859eced2f99df0d8ec34665615eff6622b622d2debe0fe	data/n050-set05/family/base/narrow/m3.dat	data/50-1/wet050_062.dat	45.100000000
n050-set05	50	5	4	family	base	1	narrow	80	120	4de91685b0538eb037859eced2f99df0d8ec34665615eff6622b622d2debe0fe	data/n050-set05/family/base/narrow/m4.dat	data/50-1/wet050_062.dat	45.100000000
n050-set05	50	5	2	family	base	1	wide	280	320	a69a4acabfc24a437307e6ea68b1397b254a6554e07f3d4b154ea20c60bde001	data/n050-set05/family/base/wide/m2.dat	data/50-1/wet050_062.dat	45.100000000
n050-set05	50	5	3	family	base	1	wide	280	320	a69a4acabfc24a437307e6ea68b1397b254a6554e07f3d4b154ea20c60bde001	data/n050-set05/family/base/wide/m3.dat	data/50-1/wet050_062.dat	45.100000000
n050-set05	50	5	4	family	base	1	wide	280	320	a69a4acabfc24a437307e6ea68b1397b254a6554e07f3d4b154ea20c60bde001	data/n050-set05/family/base/wide/m4.dat	data/50-1/wet050_062.dat	45.100000000
